Piece No.	Cat. Suffix	Tr. No.	Title	Composer	Artist	Length	Category
No. 1	M01	Tr. 01	Symphony no.94 in G major, Hob.I-94 `The Surprise'. 1st mvmt.	Haydn, Franz Joseph	Tokyo City Philharmonic Orchestra	8:24	Symphony
No. 2	M01	Tr. 02	Symphony no.40 in G minor, K.550. 1st mvmt.	Mozart, Wolfgang Amadeus	Tokyo City Philharmonic Orchestra	7:39	Symphony
No. 3	M01	Tr. 03	Symphony no.5 in C minor, op.67. 1st mvmt.	Beethoven, Ludwig van	Tokyo City Philharmonic Orchestra	7:15	Symphony
No. 4	M01	Tr. 04	Symphony no.6 in B minor, op.74 `Pathétique'. 4th mvmt.	Tchaikovsky, Pyotr Ilich	Tokyo City Philharmonic Orchestra	9:52	Symphony
No. 5	M01	Tr. 05	Violin Concerto no.5 in A major, K.219. 1st mvmt.	Mozart, Wolfgang Amadeus	Tokyo City Philharmonic Orchestra	10:06	Concerto
No. 6	M01	Tr. 06	Piano Concerto no.1 in E minor, op.11. 2nd mvmt.	Chopin, Frédéric François	Tokyo City Philharmonic Orchestra	10:00	Concerto
No. 7	M02	Tr. 01	Brandenburg Concerto no.5 in D major, BWV.1050. 1st mvmt.	Bach, Johann Sebastian	Tokyo City Philharmonic Orchestra	10:01	Orchestral
No. 8	M02	Tr. 02	<Le Nozze di Figaro> (The Marriage of Figaro), K.492: Overture	Mozart, Wolfgang Amadeus	Tokyo City Philharmonic Orchestra	4:15	Orchestral
No. 9	M02	Tr. 03	<Tristan und Isolde>: Prelude and `Liebestod'	Wagner, Richard	Tokyo City Philharmonic Orchestra	18:01	Orchestral
No. 10	M02	Tr. 04	`An der Schönen Blauen Donau' (Blue Danube Waltz), op.314	Strauss II, Johann	Tokyo City Philharmonic Orchestra	7:42	Orchestral
No. 11	M02	Tr. 05	Passacaglia and Fugue in C minor, BWV.582	Bach, Johann Sebastian	Tetsuya Kan	12:36	Solo
No. 12	M03	Tr. 01	<The Musical Offering>, BWV.1079. `Ricercare à 6'	Bach, Johann Sebastian	Wood Land Notes	6:27	Chamber
No. 13	M03	Tr. 02	String Quartet no.19 in C major, K.465. 1st mvmt.	Mozart, Wolfgang Amadeus	Wood Land Notes	8:30	Chamber
No. 14	M03	Tr. 03	String Quartet no.14 in C# minor, op.131. 5th mvmt.	Beethoven, Ludwig van	Wood Land Notes	6:37	Chamber
No. 15	M03	Tr. 04	String Quartet no.2 in D major. 3rd mvmt.	Borodin, Alexander	Wood Land Notes	7:43	Chamber
No. 16	M03	Tr. 05	Clarinet Quintet in A major, K.581. 1st mvmt.	Mozart, Wolfgang Amadeus	Wood Land Notes	9:05	Chamber
