Artist	Album	Title
Queen	Greatest Hits I	Bohemian Rhapsody
Queen	Greatest Hits I	Another One Bites The Dust
Queen	Greatest Hits I	Killer Queen
Queen	Greatest Hits I	Fat Bottomed Girls
Queen	Greatest Hits I	Bicycle Race
Queen	Greatest Hits I	You're My Best Friend
Queen	Greatest Hits I	Don't Stop Me Now
Queen	Greatest Hits I	Save Me
Queen	Greatest Hits I	Crazy Little Thing Called Love
Queen	Greatest Hits I	Somebody To Love
Queen	Greatest Hits I	Now I'm Here
Queen	Greatest Hits I	Good Old-Fashioned Lover Boy
Queen	Greatest Hits I	Play The Game
Queen	Greatest Hits I	Flash
Queen	Greatest Hits I	Seven Seas Of Rhye
Queen	Greatest Hits I	We Will Rock You
Queen	Greatest Hits I	We Are The Champions
Queen	Greatest Hits II	A Kind Of Magic
Queen	Greatest Hits II	Under Pressure
Queen	Greatest Hits II	Radio Ga Ga
Queen	Greatest Hits II	I Want It All
Queen	Greatest Hits II	I Want To Break Free
Queen	Greatest Hits II	Innuendo
Queen	Greatest Hits II	It's A Hard Life
Queen	Greatest Hits II	Breakthru
Queen	Greatest Hits II	Who Wants To Live Forever
Queen	Greatest Hits II	Headlong
Queen	Greatest Hits II	The Miracle
Queen	Greatest Hits II	I'm Going Slightly Mad
Queen	Greatest Hits II	The Invisible Man
Queen	Greatest Hits II	Hammer To Fall
Queen	Greatest Hits II	Friends Will Be Friends
Queen	Greatest Hits II	The Show Must Go On
Queen	Greatest Hits II	One Vision
Queen	Greatest Hits III	The Show Must Go On
Queen	Greatest Hits III	Under Pressure
Queen	Greatest Hits III	Barcelona
Queen	Greatest Hits III	Too Much Love Will Kill You
Queen	Greatest Hits III	Somebody To Love
Queen	Greatest Hits III	You Don't Fool Me
Queen	Greatest Hits III	Heaven For Everyone
Queen	Greatest Hits III	Las Palabras De Amor
Queen	Greatest Hits III	Driven By You
Queen	Greatest Hits III	Living On My Own
Queen	Greatest Hits III	Let Me Live
Queen	Greatest Hits III	The Great Pretender
Queen	Greatest Hits III	Princes Of The Universe
Queen	Greatest Hits III	Another One Bites The Dust
Queen	Greatest Hits III	No-One But You
Queen	Greatest Hits III	These Are The Days Of Our Lives
Queen	Greatest Hits III	Thank God It's Christmas
