Artist	Album	Title
The Beatles	Please Please Me	I Saw Her Standing There
The Beatles	Please Please Me	Misery
The Beatles	Please Please Me	Anna (Go To Him)
The Beatles	Please Please Me	Chains
The Beatles	Please Please Me	Boys
The Beatles	Please Please Me	Ask Me Why
The Beatles	Please Please Me	Please Please Me
The Beatles	Please Please Me	Love Me Do
The Beatles	Please Please Me	P. S. I Love You
The Beatles	Please Please Me	Baby It's You
The Beatles	Please Please Me	Do You Want To Know A Secret
The Beatles	Please Please Me	A Taste Of Honey
The Beatles	Please Please Me	There's A Place
The Beatles	Please Please Me	Twist And Shout
The Beatles	With the Beatles	It Won't Be Long
The Beatles	With the Beatles	All I've Got To Do
The Beatles	With the Beatles	All My Loving
The Beatles	With the Beatles	Don't Bother Me
The Beatles	With the Beatles	Little Child
The Beatles	With the Beatles	Till There Was You
The Beatles	With the Beatles	Please Mister Postman
The Beatles	With the Beatles	Roll Over Beethoven
The Beatles	With the Beatles	Hold Me Tight
The Beatles	With the Beatles	You Really Got A Hold On Me
The Beatles	With the Beatles	I Wanna Be Your Man
The Beatles	With the Beatles	Devil In Her Heart
The Beatles	With the Beatles	Not A Second Time
The Beatles	With the Beatles	Money
The Beatles	A Hard Day's Night	A Hard Day's Night
The Beatles	A Hard Day's Night	I Should Have Known Better
The Beatles	A Hard Day's Night	If I Fell
The Beatles	A Hard Day's Night	I'm Happy Just To Dance With You
The Beatles	A Hard Day's Night	And I Love Her
The Beatles	A Hard Day's Night	Tell Me Why
The Beatles	A Hard Day's Night	Can't Buy Me Love
The Beatles	A Hard Day's Night	Any Time At All
The Beatles	A Hard Day's Night	I'll Cry Instead
The Beatles	A Hard Day's Night	Things We Said Today
The Beatles	A Hard Day's Night	When I Get Home
The Beatles	A Hard Day's Night	You Can't Do That
The Beatles	A Hard Day's Night	I'll Be Back
The Beatles	Beatles for Sale	No Reply
The Beatles	Beatles for Sale	I'm a Loser
The Beatles	Beatles for Sale	Baby's In Black
The Beatles	Beatles for Sale	Rock and Roll Music
The Beatles	Beatles for Sale	I'll Follow the Sun
The Beatles	Beatles for Sale	Mr. Moonlight
The Beatles	Beatles for Sale	"Kansas City- Hey, Hey, Hey, Hey"
The Beatles	Beatles for Sale	Eight Days a Week
The Beatles	Beatles for Sale	Words of Love
The Beatles	Beatles for Sale	Honey Don't
The Beatles	Beatles for Sale	Every Little Thing
The Beatles	Beatles for Sale	I Don't Want to Spoil the Party
The Beatles	Beatles for Sale	What You're Doing
The Beatles	Beatles for Sale	Everybody's Trying to Be My Baby
The Beatles	Help!	Help!
The Beatles	Help!	The Night Before
The Beatles	Help!	You've Got To Hide Your Love Away
The Beatles	Help!	I Need You
The Beatles	Help!	Another Girl
The Beatles	Help!	You're Going To Lose That Girl
The Beatles	Help!	Ticket To Ride
The Beatles	Help!	Act Naturally
