Artist	Album	Title
The Beatles	Help!	It's Only Love
The Beatles	Help!	You Like Me Too Much
The Beatles	Help!	Tell Me What You See
The Beatles	Help!	I've Just Seen a Face
The Beatles	Help!	Yesterday
The Beatles	Help!	Dizzy Miss Lizzy
The Beatles	Rubber Soul	Drive My Car
The Beatles	Rubber Soul	Norwegian Wood (This Bird Has Flown)
The Beatles	Rubber Soul	You Won't See Me
The Beatles	Rubber Soul	Nowhere Man
The Beatles	Rubber Soul	Think For Yourself
The Beatles	Rubber Soul	The Word
The Beatles	Rubber Soul	Michelle
The Beatles	Rubber Soul	What Goes On
The Beatles	Rubber Soul	Girl
The Beatles	Rubber Soul	I'm Looking Through You
The Beatles	Rubber Soul	In My Life
The Beatles	Rubber Soul	Wait
The Beatles	Rubber Soul	If I Needed Someone
The Beatles	Rubber Soul	Run For Your Life
The Beatles	Revolver	Taxman
The Beatles	Revolver	Eleanor Rigby
The Beatles	Revolver	I'm Only Sleeping
The Beatles	Revolver	Love You To
The Beatles	Revolver	"Here, There And Everywhere"
The Beatles	Revolver	Yellow Submarine
The Beatles	Revolver	She Said She Said
The Beatles	Revolver	Good Day Sunshine
The Beatles	Revolver	And Your Bird Can Sing
The Beatles	Revolver	For No One
The Beatles	Revolver	Doctor Robert
The Beatles	Revolver	I Want To Tell You
The Beatles	Revolver	Got To Get You Into My Life
The Beatles	Revolver	Tomorrow Never Knows
The Beatles	Sgt. Pepper's Lonely Hearts Club Band	Sgt. Pepper's Lonely Hearts Club Band
The Beatles	Sgt. Pepper's Lonely Hearts Club Band	With A Little Help From My Friends
The Beatles	Sgt. Pepper's Lonely Hearts Club Band	Lucy In The Sky With Diamonds
The Beatles	Sgt. Pepper's Lonely Hearts Club Band	Getting Better
The Beatles	Sgt. Pepper's Lonely Hearts Club Band	Fixing A Hole
The Beatles	Sgt. Pepper's Lonely Hearts Club Band	She's Leaving Home
The Beatles	Sgt. Pepper's Lonely Hearts Club Band	Being For The Benefit Of Mr. Kite!
The Beatles	Sgt. Pepper's Lonely Hearts Club Band	Within You Without You
The Beatles	Sgt. Pepper's Lonely Hearts Club Band	When I'm Sixty-Four
The Beatles	Sgt. Pepper's Lonely Hearts Club Band	Lovely Rita
The Beatles	Sgt. Pepper's Lonely Hearts Club Band	Good Morning Good Morning
The Beatles	Sgt. Pepper's Lonely Hearts Club Band	Sgt. Pepper's Lonely Hearts Club Band (Reprise)
The Beatles	Sgt. Pepper's Lonely Hearts Club Band	A Day In The Life
The Beatles	Magical Mystery Tour	Magical Mystery Tour
The Beatles	Magical Mystery Tour	The Fool On The Hill
The Beatles	Magical Mystery Tour	Flying
The Beatles	Magical Mystery Tour	Blue Jay Way
The Beatles	Magical Mystery Tour	Your Mother Should Know
The Beatles	Magical Mystery Tour	I Am The Walrus
The Beatles	Magical Mystery Tour	Hello Goodbye
The Beatles	Magical Mystery Tour	Strawberry Fields Forever
The Beatles	Magical Mystery Tour	Penny Lane
The Beatles	Magical Mystery Tour	Baby You're A Rich Man
The Beatles	Magical Mystery Tour	All You Need Is Love
The Beatles	CD1 - The Beatles	Back in the USSR
The Beatles	CD1 - The Beatles	Dear Prudence
The Beatles	CD1 - The Beatles	Glass Onion
The Beatles	CD1 - The Beatles	"Ob-La-Di, Ob-La-Da"
The Beatles	CD1 - The Beatles	Wild Honey Pie
The Beatles	CD1 - The Beatles	The Continuing Story of Bungalow Bill
The Beatles	CD1 - The Beatles	While My Guitar Gently Weeps
The Beatles	CD1 - The Beatles	Happiness is a Warm Gun
The Beatles	CD1 - The Beatles	Martha My Dear
The Beatles	CD1 - The Beatles	I'm So Tired
The Beatles	CD1 - The Beatles	Black Bird
The Beatles	CD1 - The Beatles	Piggies
The Beatles	CD1 - The Beatles	Rocky Raccoon
The Beatles	CD1 - The Beatles	Don't Pass Me By
The Beatles	CD1 - The Beatles	Why Don't We Do It In The Road
The Beatles	CD1 - The Beatles	I Will
The Beatles	CD1 - The Beatles	Julia
The Beatles	CD2 - The Beatles	Birthday
The Beatles	CD2 - The Beatles	Yer Blues
The Beatles	CD2 - The Beatles	Mother Nature's Son
The Beatles	CD2 - The Beatles	Everybody's Got Something To Hide Except Me and My Monkey
The Beatles	CD2 - The Beatles	Sexy Sadie
The Beatles	CD2 - The Beatles	Helter Skelter
The Beatles	CD2 - The Beatles	Long Long Long
The Beatles	CD2 - The Beatles	Revolution 1
The Beatles	CD2 - The Beatles	Honey Pie
The Beatles	CD2 - The Beatles	Savoy Truffle
The Beatles	CD2 - The Beatles	Cry Baby Cry
The Beatles	CD2 - The Beatles	Revolution 9
The Beatles	CD2 - The Beatles	Good Night
The Beatles	Abbey Road	Come Together
The Beatles	Abbey Road	Something
The Beatles	Abbey Road	Maxwell's Silver Hammer
The Beatles	Abbey Road	Oh! Darling
The Beatles	Abbey Road	Octopus's Garden
The Beatles	Abbey Road	I Want You
The Beatles	Abbey Road	Here Comes The Sun
The Beatles	Abbey Road	Because
The Beatles	Abbey Road	You Never Give Me Your Money
The Beatles	Abbey Road	Sun King
The Beatles	Abbey Road	Mean Mr Mustard
The Beatles	Abbey Road	Polythene Pam
The Beatles	Abbey Road	She Came In Through The Bathroom Window
The Beatles	Abbey Road	Golden Slumbers
The Beatles	Abbey Road	Carry That Weight
The Beatles	Abbey Road	The End
The Beatles	Abbey Road	Her Majesty
The Beatles	Let It Be	Two of Us
The Beatles	Let It Be	Dig a Pony
The Beatles	Let It Be	Across the Universe
The Beatles	Let It Be	I Me Mine
The Beatles	Let It Be	Dig It
The Beatles	Let It Be	Let It Be
The Beatles	Let It Be	Maggie Mae
The Beatles	Let It Be	I've Got A Feeling
The Beatles	Let It Be	One After 909
The Beatles	Let It Be	The Long and Winding Road
The Beatles	Let It Be	For You Blue
The Beatles	Let It Be	Get Back
