start;measure
0.371088435;1
1.511360544;2
2.570680272;3
3.618344671;4
4.645759637;5
5.705011338;6
6.731768707;7
7.831496599;8
8.902312925;9
10.036689342;10
11.157823129;11
12.245147392;12
13.302018141;13
14.330589569;14
15.392290249;15
16.462199546;16
17.583106576;17
18.615555556;18
19.741541950;19
20.789342404;20
21.794739229;21
22.890884354;22
23.940748299;23
24.999319728;24
26.066439909;25
27.131995465;26
27.945260771;27
29.141020408;28
30.335578231;29
31.465170068;30
32.600929705;31
33.748299320;32
34.864784580;33
35.992358277;34
37.120000000;35
38.273492063;36
39.373560091;37
40.461383220;38
41.499274376;39
42.591519274;40
43.676054422;41
44.799977324;42
45.843197279;43
46.891814059;44
47.961700680;45
49.033015873;46
50.107301587;47
51.158367347;48
52.185328798;49
53.181678005;50
54.193061224;51
55.239047619;52
56.283287982;53
57.331428571;54
58.434467120;55
59.528412698;56
60.591065760;57
61.655782313;58
62.680045351;59
63.743537415;60
64.824376417;61
65.867482993;62
66.952585034;63
68.036712018;64
69.101133787;65
70.165827664;66
71.229297052;67
72.277301587;68
73.350226757;69
74.438185941;70
75.513015873;71
76.422471655;72
77.616326531;73
78.768276644;74
79.948185941;75
81.091269841;76
82.272925170;77
83.413945578;78
84.518253968;79
85.667573696;80
86.856190476;81
87.969931973;82
89.057369615;83
90.145419501;84
91.186326531;85
92.301088435;86
93.386281179;87
94.439569161;88
95.475374150;89
96.584058957;90
97.665646259;91
98.782879819;92
99.951632653;93
101.251995465;94
102.187755102;94.333
