start;measure
1.635510204;1
2.973061224;2
4.166507937;3
5.364761905;4
6.705102041;5
7.821496599;6
9.160793651;7
10.313877551;8
11.502879819;9
12.689818594;10
13.858707483;11
15.198684807;12
16.291587302;13
17.640839002;14
18.790158730;15
20.087482993;16
21.337551020;17
22.569410431;18
23.800975057;19
24.964739229;20
26.161269841;21
27.322199546;22
28.624195011;23
29.780793651;24
31.137959184;25
32.368253968;26
33.629727891;27
34.713582766;28
35.903401361;29
37.096439909;30
38.353219955;31
39.775238095;32
41.087755102;33
42.440000000;34
43.662448980;35
44.864444444;36
46.165079365;37
47.358049887;38
48.640317460;39
49.897142857;40
51.139977324;41
52.342063492;42
53.688911565;43
54.795238095;44
56.083151928;45
57.382312925;46
58.652358277;47
59.819750567;48
61.094263039;49
62.279365079;50
63.643696146;51
65.014897959;52
66.127800454;53
67.316099773;54
68.663605442;55
69.925260771;56
71.240770975;57
72.561632653;58
73.823333333;59
75.016235828;60
76.275056689;61
77.504467120;62
78.669115646;63
79.834489796;64
82.946575964;64.999
