start;measure
0.347074830;1
2.999886621;2
5.639342404;3
8.184353741;4
10.761292517;5
13.343560091;6
16.083582766;7
18.767845805;8
21.225623583;9
24.021950113;10
26.619569161;11
29.176213152;12
31.738639456;13
34.306031746;14
36.989092971;15
39.693945578;16
42.275532880;17
44.826145124;18
47.294376417;19
49.769002268;20
52.140136054;21
54.629342404;22
57.179070295;23
59.471825397;24
62.102879819;25
64.790453515;26
67.491247166;27
70.039773243;28
72.403560091;29
74.877346939;30
77.333492063;31
79.727097505;32
82.128934240;33
84.730566893;34
87.282018141;35
89.807755102;36
92.537800454;37
95.314285714;38
98.025011338;39
100.712585034;40
103.327437642;41
106.257210884;42
110.541995465;43
115.847324263;43.999
