start;measure
2.581451247;1
6.504081633;2
10.242766440;3
13.654965986;4
17.385374150;5
21.027687075;6
24.821632653;7
28.621201814;8
31.853424036;9
34.597437642;10
38.299160998;11
40.955011338;12
44.187165533;13
47.950249433;14
50.548934240;15
55.218458050;16
58.214285714;17
61.654852608;18
65.127619049;19
68.575487528;20
72.050839002;21
75.483764172;22
78.943786848;23
81.813401361;24
84.898775510;25
89.050430839;26
92.226009070;27
96.583628118;28
100.094829932;29
103.785419501;30
107.351972789;31
111.466734694;32
115.559387755;33
119.769546485;34
124.806122449;35
129.750408164;36
133.837891156;37
138.121473923;38
143.013696145;39
153.018412698;40
156.385011338;41
159.976326531;42
164.128344671;43
169.547777778;43.999
