start;measure
0.772312925;1
2.182063492;2
3.816961451;3
5.256825397;4
6.874761905;5
8.292811791;6
9.853628118;7
11.353265306;8
12.952312925;9
14.475941043;10
16.094172336;11
17.690884354;12
19.220204082;13
20.742993197;14
22.306575964;15
23.797755102;16
25.449160998;17
26.951315193;18
28.563900227;19
30.083922902;20
31.697369615;21
33.157936508;22
34.784671202;23
36.420839002;24
38.027709751;25
39.567845805;26
41.123832200;27
45.781587302;28
47.660589569;29
49.801360544;30
51.815170068;31
53.931088435;32
55.812176871;33
57.942834467;34
59.897709751;35
62.085464853;36
64.211337868;37
66.166734694;38
68.107210884;39
70.259206349;40
72.481020408;41
74.714988662;42
76.574671202;43
78.755759638;44
80.810725624;45
83.021383220;46
85.199795918;47
87.118594104;48
89.080408163;49
90.831065760;50
92.492290249;51
94.058979592;52
95.800362812;53
97.400521542;54
99.225668934;55
101.055102041;56
102.901904762;57
104.655419501;58
106.855510204;59
108.653333333;60
110.704104308;61
112.602630385;62
114.397414966;63
116.695170068;64
118.558639456;65
120.444308390;66
123.218049887;67
125.570362812;68
128.048390023;69
132.222448980;69.999
