start;measure
0.352312925;1
1.842063492;2
3.562063492;3
5.056825397;4
6.754761905;5
8.268367347;6
9.933628118;7
11.413265306;8
12.953560091;9
14.455941043;10
16.159886621;11
17.810884354;12
19.400204082;13
21.012675737;14
22.698390023;15
24.237755102;16
25.849160998;17
27.351315193;18
28.982585034;19
30.483922902;20
32.097369615;21
33.710589569;22
35.204671202;23
36.862290249;24
38.347709751;25
39.927845805;26
41.479365079;27
45.454875283;28
47.628866213;29
49.641496599;30
51.700408163;31
53.879478458;32
55.852176871;33
57.882834467;34
59.797709751;35
61.765464853;36
63.771337868;37
65.726734694;38
67.700430839;39
69.679206349;40
71.553020912;41
73.474988662;42
75.274671202;43
77.112879819;44
79.030725624;45
80.921383220;46
82.640385488;47
84.458594104;48
86.252131519;49
87.978276644;50
89.552290249;51
91.158775510;52
92.857800454;53
94.480521542;54
96.217006802;55
97.895102041;56
99.661904762;57
101.295419501;58
103.115510204;59
104.893333333;60
106.749206349;61
108.402630385;62
110.177414966;63
112.235170068;64
113.998639456;65
115.784308390;66
118.398049887;67
120.770362812;68
122.948390023;69
126.822448980;69.999
