start;measure
0.555510204;1
1.973061224;2
3.323560091;3
4.745351474;4
6.300453515;5
7.729863946;6
9.040793651;7
10.473877551;8
11.772789116;9
12.964512472;10
14.198480726;11
15.698684807;12
17.104172336;13
18.764126984;14
20.190158730;15
21.443287982;16
22.817551020;17
24.057233560;18
25.402335601;19
26.724739229;20
28.121269841;21
29.422199546;22
31.244195011;23
32.620793651;24
34.196054422;25
35.508253968;26
36.819501134;27
38.113582766;28
39.363401361;29
40.896439909;30
42.213219955;31
43.825124717;32
45.384421769;33
46.820000000;34
48.182448980;35
49.471541950;36
50.945079365;37
52.176099773;38
53.520317460;39
54.802108844;40
56.179977324;41
57.394126984;42
58.987959184;43
60.157732426;44
61.536575964;45
62.842312925;46
64.192358277;47
65.407233560;48
66.854263039;49
68.139365079;50
69.623696146;51
70.945147392;52
72.347800454;53
73.556099773;54
75.019795918;55
76.425260771;56
77.860770975;57
79.271020408;58
80.683333333;59
81.957505669;60
83.384988662;61
84.724467120;62
86.109115646;63
87.514489796;64
90.646575964;64.999
