start;measure
2.477346939;1
6.745079365;2
10.369229025;3
13.241746032;4
17.029229025;5
21.142743764;6
24.136439909;7
27.925374150;8
31.867641723;9
35.312857143;10
38.763401361;11
41.775034014;12
45.440294785;13
48.644761905;14
52.083628118;15
55.110453515;16
58.821224490;17
62.410476190;18
65.737256236;19
69.138594104;20
72.596462585;21
76.037664400;22
79.606598639;23
82.738798186;24
86.346145125;25
89.636394558;26
93.492018141;27
96.738367347;28
100.422154195;29
104.024829932;30
107.934512472;31
111.258185941;32
114.755691610;33
117.689977324;34
121.586870748;35
124.572222222;36
128.379092971;37
131.475396825;38
135.150385488;39
139.132176871;40
143.092789116;41
146.471315193;42
149.451179138;43
153.572630385;44
157.005555556;45
160.787165533;46
164.457369615;47
168.010907029;48
171.852539683;49
175.334580499;50
178.932698413;51
182.379546485;52
186.286371882;53
189.793027211;54
193.536961451;55
197.412176871;56
201.587437642;57
205.398911565;58
209.217732426;59
213.176145125;60
219.329977324;61
228.372766432;61.999
