start;measure
1.538299320;1
4.239886621;2
6.826349206;3
9.434104308;4
12.121292517;5
14.860187075;6
17.323582766;7
19.847845805;8
22.320997732;9
24.941950113;10
27.379569161;11
29.853174603;12
32.358321995;13
34.866031746;14
37.513197279;15
40.090000000;16
42.415532880;17
44.836213152;18
47.119160998;19
49.729002268;20
51.980136054;21
54.309342404;22
56.799070295;23
59.177301587;24
61.935479970;25
64.510453515;26
67.091247166;27
69.639773243;28
72.137120182;29
74.717346939;30
77.133492063;31
79.924195011;32
82.148934240;33
85.354285714;34
87.662018141;35
90.227755102;36
93.097800454;37
96.194285714;38
98.965011338;39
101.692585034;40
104.381791383;41
107.197210884;42
111.641995465;43
117.847324263;43.999
