start;measure
0.325691610;0.833
0.830068027;1
2.993106576;2
5.107392290;3
7.248979592;4
9.462630385;5
11.628072562;6
13.868390023;7
16.024036281;8
18.205260771;9
20.364285714;10
22.498979592;11
24.599206349;12
26.846870748;13
29.012947846;14
31.060294785;15
32.583854875;16
34.188911565;17
35.697188209;18
37.341496599;19
39.010498866;20
40.818639456;21
42.943424036;22
45.407006803;23
47.571587302;24
49.942925170;25
52.360997732;26
55.402811791;27
58.425691610;28
61.799909297;29
65.230453515;30
68.796802721;31
72.512562358;32
76.194512472;33
79.795374150;34
83.278367347;35
87.306122449;36
90.987755102;37
94.802131519;38
98.555102041;39
102.767346939;40
106.955102041;41
111.910204082;42
115.289795918;43
118.788707483;44
121.585646259;45
123.964943311;46
126.138956916;47
128.341383220;48
130.721451247;49
133.016031746;50
135.290294785;51
137.671587302;52
140.046893424;53
142.253061224;54
144.532879819;55
146.671882086;56
149.110634921;57
151.648979592;58
153.808412698;59
155.361700680;60
156.952698413;61
158.494580499;62
160.005578231;63
161.608707483;64
163.310090703;65
165.365351474;66
167.677074830;67
169.766757370;68
172.181247166;69
174.738752834;70
177.871746032;71
181.306122449;72
185.151269841;73
189.040997732;74
193.041927438;75
197.282154195;76
200.979591837;77
204.952154195;78
208.979410431;79
213.628752834;80
217.690702948;81
221.500000000;82
225.404081633;83
230.261133787;84
234.987755102;85
241.327596372;86
244.656190476;87
248.200657596;88
251.730612245;88.999
