start;measure
0.778117914;1
3.131179138;2
5.415578231;3
7.734285714;4
10.311383220;5
13.206031746;6
18.134784580;7
20.532789116;8
23.028140590;9
25.489274376;10
27.811655329;11
30.146530612;12
32.579070295;13
34.852267574;14
37.168208617;15
39.709569161;16
42.085102041;17
44.645532880;18
46.948888889;19
49.422811791;20
51.920430839;21
54.334603175;22
56.922358277;23
59.297301587;24
61.628253968;25
64.274126984;26
66.815396825;27
69.199773243;28
71.621655329;29
74.100725624;30
76.376099773;31
78.896326531;32
81.319841270;33
83.750408163;34
86.567777778;35
89.417210884;36
94.857619048;37
97.406122449;38
99.927091837;39
102.509410431;40
105.107777778;41
107.741814059;42
110.138480726;43
112.488140590;44
115.012675737;45
117.409342404;46
119.876326531;47
122.227687075;48
124.645192744;49
127.261734694;50
130.027029478;51
132.639047619;52
135.224217687;53
137.532607710;54
139.841632653;55
142.438798186;56
145.086371882;57
147.731451247;58
150.624126984;59
153.015918367;60
155.316984127;61
157.876507937;62
160.359092971;63
162.890204082;64
165.754535147;65
168.513900227;66
172.626439909;67
178.919047619;67.999
