start;measure
0.693287982;1
1.913061224;2
3.003560091;3
4.085351474;4
5.280453515;5
6.489863946;6
7.740793651;7
8.705623583;8
9.862879819;9
10.964512472;10
12.078707483;11
13.398684807;12
14.491587302;13
15.740839002;14
16.790158730;15
17.907482993;16
19.045011338;17
20.089410431;18
21.420975057;19
22.584739229;20
23.741269841;21
24.806326531;22
26.073877551;23
27.140793651;24
28.416054422;25
29.374013605;26
30.529727891;27
31.659795918;28
32.723401361;29
33.929070295;30
34.973219955;31
36.145124717;32
37.261473923;33
38.340000000;34
39.455941043;35
40.504444444;36
41.648956916;37
42.738049887;38
43.793922902;39
44.842108844;40
45.963718821;41
47.008435374;42
48.127959184;43
49.135238095;44
50.194920635;45
51.262312925;46
52.330476190;47
53.367233560;48
54.534263039;49
55.574081633;50
56.620544218;51
57.694897959;52
58.790657596;53
59.810272109;54
60.899795918;55
61.927437642;56
62.968435374;57
64.011020408;58
65.063333333;59
66.117505669;60
67.364988662;61
68.466848073;62
69.529841270;63
70.632244898;64
73.746575964;64.999
