start;measure
0.294784580;1
1.490476190;2
2.714149660;3
3.967823129;4
5.209455782;5
6.355510204;6
7.788390023;7
9.175976676;8
10.428775510;9
11.627845805;10
12.902018141;11
14.219092971;12
15.598095238;13
16.924421769;14
18.204616132;15
19.479795918;16
20.716984127;17
22.045578231;18
23.327029478;19
24.619705215;20
25.917619048;21
27.356235828;22
28.754671202;23
30.094308390;24
31.474036281;25
32.758163265;26
34.084421769;27
35.396190476;28
36.640770975;29
38.080725624;30
39.680340136;31
41.020158730;32
42.499342404;33
43.934240363;34
45.408027211;35
46.716643991;36
48.143605442;37
49.498979592;38
50.864693878;39
52.256598639;40
53.753208617;41
55.251065760;42
56.691768707;43
58.269365079;44
59.609637188;45
60.995215420;46
62.705714286;47
64.523968254;48
65.958163265;49
67.391043084;50
68.886122449;51
70.289773243;52
71.573650793;53
73.010816327;54
74.469365079;55
75.792131519;56
77.124489796;57
78.523310658;58
80.001609977;59
81.490816327;60
82.760498866;61
84.101609977;62
85.260317460;63
86.909319728;64
88.842131519;65
90.153809524;66
91.572471655;67
92.957437642;68
94.348299320;69
95.647551020;70
97.153922902;71
98.505714286;72
99.747097506;73
101.075918367;74
102.441111111;75
103.759871504;76
105.124943311;77
106.473945578;78
107.891927438;79
109.283333333;80
110.705827664;81
112.100498866;82
113.542176871;83
114.904671202;84
116.372131519;85
117.765600907;86
119.217800454;87
120.775079365;88
122.252766440;89
123.753832200;90
125.202539683;91
126.724807256;92
128.141632653;93
129.595374150;94
131.044308390;95
132.443083900;96
134.018117914;97
135.687346939;98
137.112244898;99
138.685555556;100
140.112244898;101
141.759501134;102
145.420839002;103
146.904489796;104
148.304308390;105
149.625963719;106
151.279954649;107
153.678367347;108
156.382471655;109
162.514285714;109.999
