start;measure
2.566235828;1
9.566984127;2
17.988707483;3
24.714308390;4
32.061088435;5
41.135260771;6
48.240249433;7
55.670793651;8
63.453764172;9
70.999705215;10
77.757142857;11
85.344603175;12
92.793605442;13
99.855351474;14
107.513469388;15
115.714943311;16
122.370204082;17
130.118662132;18
137.328117914;19
144.777505669;20
152.882834467;21
160.420476190;22
168.074308390;23
175.119092971;24
181.996439909;25
189.451020408;26
196.700884354;27
204.918208617;28
214.237845805;29
220.989841270;30
230.129886621;31
239.486757370;31.999
