start;measure
2.061224490;0.833
3.430975057;1
7.637573696;2
12.411428571;3
17.667732426;4
23.220816326;5
27.532290249;6
33.003333333;7
38.275759637;8
43.925238095;9
48.920612245;10
52.776326531;11
57.588843537;12
62.351519274;13
67.575147392;14
72.994126984;15
79.360294785;16
84.162063492;17
88.366938776;18
93.040997732;19
97.178672597;20
101.314716553;21
106.144081633;22
110.977437642;23
116.790317460;24
122.434489796;25
127.748730159;26
132.253174603;27
137.810249433;28
143.244739229;29
149.084557823;30
154.728208617;31
160.718684807;32
166.382494331;32.666
