start;measure
1.993877551;1
5.443718821;2
8.987460317;3
12.674965986;4
16.871836735;5
20.587687075;6
24.848911565;7
28.501201814;8
32.496848072;9
35.381201814;10
39.119160998;11
41.955011338;12
44.827165533;13
48.480589569;14
51.361496599;15
54.958458050;16
57.581678005;17
60.834852608;18
63.986235828;19
67.341587302;20
70.714126984;21
74.303764172;22
77.644399093;23
80.553401361;24
83.118775510;25
86.594308390;26
89.414308390;27
93.023628118;28
96.334829932;29
99.925419501;30
103.051972789;31
106.961655329;32
110.779387755;33
114.822857143;34
119.330929705;35
124.410204082;36
128.367823129;37
133.841473923;38
138.193696145;39
147.884716553;40
151.925011338;41
156.428979592;42
161.093446710;43
167.947777778;43.999
