start;measure
0.195918367;0.833
0.709138322;1
2.175759637;2
3.650521542;3
5.127324263;4
6.558208616;5
8.237732426;6
9.794625850;7
11.373287982;8
12.868820862;9
14.535079365;10
16.032653061;11
17.663174603;12
19.275510204;13
20.994693878;14
22.606530612;15
24.058344671;16
25.683356009;17
27.294489796;18
28.794240363;19
30.485997732;20
32.117414966;21
33.935555556;22
35.643492063;23
37.301360544;24
39.184603175;25
40.771859410;26
42.418072562;27
44.441451247;28
46.288594104;29
48.199365079;30
51.087346939;31
52.798253968;32
54.404761905;33
55.924036281;34
57.630839002;35
59.233764172;36
60.875079365;37
62.999591837;38
64.792607710;39
66.506122449;40
68.206439909;41
70.077959184;42
73.537097506;43
76.935124750;43.999
