start;measure
0.720634921;1
4.737188209;2
8.680249433;3
12.641904762;4
16.838730159;5
20.671473923;6
24.518775510;7
28.342721088;8
32.087482993;9
35.976145125;10
39.685895692;11
43.422040816;12
47.163922902;13
51.042108844;14
54.995578231;15
59.297551020;16
62.984331066;17
67.725260771;18
71.694807256;19
75.242154195;20
78.764126984;21
82.340204082;22
85.857437642;23
89.456485261;24
93.092403628;25
96.861496599;26
100.558866213;27
103.990294785;28
107.710589569;29
111.597596372;30
115.444920635;31
119.248866213;32
123.107551020;33
126.841564626;34
130.564557823;35
134.215895692;36
138.324240363;37
142.144263039;38
145.893900227;39
150.305124717;40
154.138684807;41
158.308571429;42
162.256984127;43
166.099614512;44
170.019773243;45
174.428299320;46
177.916258503;47
182.135215420;48
187.989070295;49
190.552789116;49.999
