start;measure
0.700634921;1
4.936938776;2
9.080249433;3
13.481904762;4
17.731587302;5
21.931473923;6
26.148321995;7
30.362721088;8
34.771791383;9
38.721156462;10
42.805895692;11
47.158571430;12
51.339614510;13
55.842108844;14
60.293083900;15
64.817551020;16
69.340702948;17
74.605986395;18
78.354807256;19
82.241352041;20
85.784036281;21
89.652562358;22
93.319274376;23
97.062970522;24
100.892403628;25
104.841224490;26
108.948299320;27
112.460147393;28
116.150589569;29
120.337596372;30
124.508027211;31
128.544943311;32
132.779954649;33
137.024376417;34
141.537346938;35
145.615895692;36
149.864240363;37
154.029773243;38
158.269546485;39
162.915873019;40
167.399795918;41
171.648571429;42
176.264943311;43
180.316099773;44
184.459773243;45
190.028299320;46
194.331972789;47
199.157664399;48
203.971111111;49
216.052789116;49.999
