start;measure
0.348299320;0.833
0.809365079;1
2.888571429;2
5.071564626;3
7.260884354;4
11.466145125;5
13.789229025;6
16.129795918;7
18.576938776;8
20.729183673;9
22.930793651;10
25.192698413;11
27.889206349;12
30.076485261;13
32.281496599;14
34.356167800;15
36.503968254;16
38.672380952;17
40.812380952;18
42.886712018;19
44.976598639;20
47.340340136;21
49.481609977;22
51.334897959;23
53.521995465;24
55.402675737;25
57.341927438;26
59.273129252;27
60.956621315;28
63.279092971;29
67.478843537;30
71.215351474;31
73.237505669;32
75.072335601;33
76.788390023;34
79.899931973;35
84.613514739;36
88.492199546;37
92.760702948;38
96.183854875;39
100.955487528;40
105.623968254;41
109.440068027;42
114.961995465;43
117.544739229;44
119.794807256;45
122.790839002;46
128.697573696;47
133.328979592;47.999
