measure;rowindex;x;y;height;width;image
1;0;88;136;131;253;"Schubert_D911-18_000.png"
2;0;343;136;131;252;"Schubert_D911-18_000.png"
3;1;54;320;142;215;"Schubert_D911-18_000.png"
4;1;270;320;142;175;"Schubert_D911-18_000.png"
5;1;446;320;142;151;"Schubert_D911-18_000.png"
6;2;54;516;142;285;"Schubert_D911-18_000.png"
7;2;340;516;142;257;"Schubert_D911-18_000.png"
8;3;53;707;141;295;"Schubert_D911-18_000.png"
9;3;349;707;141;248;"Schubert_D911-18_000.png"
10;0;51;76;127;284;"Schubert_D911-18_001.png"
11;0;335;76;127;261;"Schubert_D911-18_001.png"
12;1;51;245;127;282;"Schubert_D911-18_001.png"
13;1;335;245;127;263;"Schubert_D911-18_001.png"
14;2;52;416;121;283;"Schubert_D911-18_001.png"
15;2;336;416;121;262;"Schubert_D911-18_001.png"
16;3;52;574;129;271;"Schubert_D911-18_001.png"
17;3;324;574;129;274;"Schubert_D911-18_001.png"
18;4;52;743;122;332;"Schubert_D911-18_001.png"
19;4;385;743;122;209;"Schubert_D911-18_001.png"
