measure;rowindex;x;y;height;width;image
1;0;90;97;121;195;"Schubert_D911-21_000.png"
2;0;288;97;121;145;"Schubert_D911-21_000.png"
3;0;434;97;121;162;"Schubert_D911-21_000.png"
4;1;55;257;123;183;"Schubert_D911-21_000.png"
5;1;239;257;123;153;"Schubert_D911-21_000.png"
6;1;393;257;123;205;"Schubert_D911-21_000.png"
7;2;57;410;120;205;"Schubert_D911-21_000.png"
8;2;262;410;120;180;"Schubert_D911-21_000.png"
9;2;442;410;120;158;"Schubert_D911-21_000.png"
10;3;57;561;127;174;"Schubert_D911-21_000.png"
11;3;233;561;127;179;"Schubert_D911-21_000.png"
12;3;413;561;127;187;"Schubert_D911-21_000.png"
13;4;59;723;134;196;"Schubert_D911-21_000.png"
14;4;256;723;134;180;"Schubert_D911-21_000.png"
15;4;437;723;134;164;"Schubert_D911-21_000.png"
16;0;52;66;130;161;"Schubert_D911-21_001.png"
17;0;214;66;130;172;"Schubert_D911-21_001.png"
18;0;387;66;130;207;"Schubert_D911-21_001.png"
19;1;53;232;131;183;"Schubert_D911-21_001.png"
20;1;237;232;131;196;"Schubert_D911-21_001.png"
21;1;434;232;131;161;"Schubert_D911-21_001.png"
22;2;53;397;132;174;"Schubert_D911-21_001.png"
23;2;229;397;132;191;"Schubert_D911-21_001.png"
24;2;421;397;132;175;"Schubert_D911-21_001.png"
25;3;54;564;127;210;"Schubert_D911-21_001.png"
26;3;266;564;127;174;"Schubert_D911-21_001.png"
27;3;441;564;127;155;"Schubert_D911-21_001.png"
28;4;55;730;129;189;"Schubert_D911-21_001.png"
29;4;245;730;129;144;"Schubert_D911-21_001.png"
30;4;390;730;129;156;"Schubert_D911-21_001.png"
31;4;547;730;129;44;"Schubert_D911-21_001.png"
