measure;rowindex;x;y;height;width;image
0;0;87;124;117;89;"Schubert_D911-14_000.png"
1;0;177;124;117;89;"Schubert_D911-14_000.png"
2;0;267;124;117;96;"Schubert_D911-14_000.png"
3;0;364;124;117;118;"Schubert_D911-14_000.png"
4;0;483;124;117;110;"Schubert_D911-14_000.png"
5;1;50;271;119;141;"Schubert_D911-14_000.png"
6;1;192;271;119;106;"Schubert_D911-14_000.png"
7;1;299;271;119;119;"Schubert_D911-14_000.png"
8;1;419;271;119;76;"Schubert_D911-14_000.png"
9;1;497;271;119;98;"Schubert_D911-14_000.png"
10;2;51;417;122;149;"Schubert_D911-14_000.png"
11;2;201;417;122;110;"Schubert_D911-14_000.png"
12;2;312;417;122;133;"Schubert_D911-14_000.png"
13;2;446;417;122;150;"Schubert_D911-14_000.png"
14;3;52;570;131;156;"Schubert_D911-14_000.png"
15;3;209;570;131;135;"Schubert_D911-14_000.png"
16;3;345;570;131;115;"Schubert_D911-14_000.png"
17;3;461;570;131;136;"Schubert_D911-14_000.png"
18;4;51;731;134;176;"Schubert_D911-14_000.png"
19;4;229;731;134;129;"Schubert_D911-14_000.png"
20;4;359;731;134;103;"Schubert_D911-14_000.png"
21;4;463;731;134;135;"Schubert_D911-14_000.png"
22;0;50;67;130;138;"Schubert_D911-14_001.png"
23;0;189;67;130;47;"Schubert_D911-14_001.png"
24;0;237;67;130;102;"Schubert_D911-14_001.png"
25;0;340;67;130;128;"Schubert_D911-14_001.png"
26;0;469;67;130;127;"Schubert_D911-14_001.png"
27;1;49;237;123;158;"Schubert_D911-14_001.png"
28;1;208;237;123;90;"Schubert_D911-14_001.png"
29;1;299;237;123;85;"Schubert_D911-14_001.png"
30;1;385;237;123;104;"Schubert_D911-14_001.png"
31;1;490;237;123;105;"Schubert_D911-14_001.png"
32;2;49;406;126;175;"Schubert_D911-14_001.png"
33;2;225;406;126;98;"Schubert_D911-14_001.png"
34;2;324;406;126;139;"Schubert_D911-14_001.png"
35;2;464;406;126;130;"Schubert_D911-14_001.png"
36;3;48;568;124;163;"Schubert_D911-14_001.png"
37;3;212;568;124;123;"Schubert_D911-14_001.png"
38;3;336;568;124;147;"Schubert_D911-14_001.png"
39;3;484;568;124;110;"Schubert_D911-14_001.png"
40;4;47;732;128;175;"Schubert_D911-14_001.png"
41;4;223;732;128;76;"Schubert_D911-14_001.png"
42;4;300;732;128;73;"Schubert_D911-14_001.png"
43;4;374;732;128;117;"Schubert_D911-14_001.png"
44;4;492;732;128;96;"Schubert_D911-14_001.png"
