measure;rowindex;x;y;height;width;image
1;0;82;110;119;116;"Schubert_D911-07_000.png"
2;0;200;110;119;86;"Schubert_D911-07_000.png"
3;0;287;110;119;85;"Schubert_D911-07_000.png"
4;0;373;110;119;82;"Schubert_D911-07_000.png"
5;0;456;110;119;134;"Schubert_D911-07_000.png"
6;1;48;260;126;126;"Schubert_D911-07_000.png"
7;1;175;260;126;106;"Schubert_D911-07_000.png"
8;1;282;260;126;85;"Schubert_D911-07_000.png"
9;1;368;260;126;117;"Schubert_D911-07_000.png"
10;1;486;260;126;104;"Schubert_D911-07_000.png"
11;2;47;421;132;179;"Schubert_D911-07_000.png"
12;2;227;421;132;98;"Schubert_D911-07_000.png"
13;2;326;421;132;148;"Schubert_D911-07_000.png"
14;2;475;421;132;114;"Schubert_D911-07_000.png"
15;3;47;590;119;156;"Schubert_D911-07_000.png"
16;3;204;590;119;127;"Schubert_D911-07_000.png"
17;3;332;590;119;111;"Schubert_D911-07_000.png"
18;3;444;590;119;146;"Schubert_D911-07_000.png"
19;4;47;745;126;122;"Schubert_D911-07_000.png"
20;4;170;745;126;136;"Schubert_D911-07_000.png"
21;4;307;745;126;100;"Schubert_D911-07_000.png"
22;4;408;745;126;147;"Schubert_D911-07_000.png"
23;0;47;63;128;172;"Schubert_D911-07_001.png"
24;0;221;63;128;128;"Schubert_D911-07_001.png"
25;0;350;63;128;125;"Schubert_D911-07_001.png"
26;0;476;63;128;116;"Schubert_D911-07_001.png"
27;1;48;234;129;171;"Schubert_D911-07_001.png"
28;1;220;234;129;124;"Schubert_D911-07_001.png"
29;1;345;234;129;145;"Schubert_D911-07_001.png"
30;1;491;234;129;101;"Schubert_D911-07_001.png"
31;2;50;405;122;215;"Schubert_D911-07_001.png"
32;2;266;405;122;158;"Schubert_D911-07_001.png"
33;2;425;405;122;167;"Schubert_D911-07_001.png"
34;3;49;574;122;206;"Schubert_D911-07_001.png"
35;3;257;574;122;163;"Schubert_D911-07_001.png"
36;3;421;574;122;172;"Schubert_D911-07_001.png"
37;4;51;747;122;189;"Schubert_D911-07_001.png"
38;4;241;747;122;140;"Schubert_D911-07_001.png"
39;4;382;747;122;132;"Schubert_D911-07_001.png"
40;4;515;747;122;50;"Schubert_D911-07_001.png"
41;0;57;60;126;154;"Schubert_D911-07_002.png"
42;0;212;60;126;119;"Schubert_D911-07_002.png"
43;0;332;60;126;138;"Schubert_D911-07_002.png"
44;0;471;60;126;127;"Schubert_D911-07_002.png"
45;1;56;225;123;156;"Schubert_D911-07_002.png"
46;1;213;225;123;167;"Schubert_D911-07_002.png"
47;1;381;225;123;217;"Schubert_D911-07_002.png"
48;2;55;397;130;190;"Schubert_D911-07_002.png"
49;2;247;397;130;182;"Schubert_D911-07_002.png"
50;2;430;397;130;168;"Schubert_D911-07_002.png"
51;3;55;573;131;194;"Schubert_D911-07_002.png"
52;3;251;573;131;172;"Schubert_D911-07_002.png"
53;3;424;573;131;174;"Schubert_D911-07_002.png"
54;4;57;748;121;132;"Schubert_D911-07_002.png"
55;4;190;748;121;107;"Schubert_D911-07_002.png"
56;4;298;748;121;115;"Schubert_D911-07_002.png"
57;4;414;748;121;95;"Schubert_D911-07_002.png"
58;4;510;748;121;89;"Schubert_D911-07_002.png"
59;0;60;61;123;175;"Schubert_D911-07_003.png"
60;0;236;61;123;175;"Schubert_D911-07_003.png"
61;0;412;61;123;189;"Schubert_D911-07_003.png"
62;1;61;242;126;195;"Schubert_D911-07_003.png"
63;1;257;242;126;172;"Schubert_D911-07_003.png"
64;1;430;242;126;172;"Schubert_D911-07_003.png"
65;2;61;416;132;188;"Schubert_D911-07_003.png"
66;2;249;416;132;163;"Schubert_D911-07_003.png"
67;2;413;416;132;192;"Schubert_D911-07_003.png"
68;3;64;598;138;189;"Schubert_D911-07_003.png"
69;3;253;598;138;200;"Schubert_D911-07_003.png"
70;3;453;598;138;154;"Schubert_D911-07_003.png"
71;4;64;793;73;225;"Schubert_D911-07_003.png"
72;4;291;793;73;117;"Schubert_D911-07_003.png"
73;4;409;793;73;121;"Schubert_D911-07_003.png"
74;4;531;793;73;72;"Schubert_D911-07_003.png"
