measure;rowindex;x;y;height;width;image
1;0;81;197;131;116;"Schubert_D911-01_000.png"
2;0;199;197;131;90;"Schubert_D911-01_000.png"
3;0;290;197;131;77;"Schubert_D911-01_000.png"
4;0;368;197;131;71;"Schubert_D911-01_000.png"
5;0;440;197;131;82;"Schubert_D911-01_000.png"
6;0;523;197;131;66;"Schubert_D911-01_000.png"
7;1;90;364;144;89;"Schubert_D911-01_000.png"
8;1;180;364;144;97;"Schubert_D911-01_000.png"
9;1;278;364;144;108;"Schubert_D911-01_000.png"
10;1;387;364;144;121;"Schubert_D911-01_000.png"
11;1;509;364;144;82;"Schubert_D911-01_000.png"
12;2;50;546;143;129;"Schubert_D911-01_000.png"
13;2;180;546;143;92;"Schubert_D911-01_000.png"
14;2;273;546;143;117;"Schubert_D911-01_000.png"
15;2;391;546;143;90;"Schubert_D911-01_000.png"
16;2;482;546;143;109;"Schubert_D911-01_000.png"
17;3;50;721;138;125;"Schubert_D911-01_000.png"
18;3;176;721;138;118;"Schubert_D911-01_000.png"
19;3;295;721;138;93;"Schubert_D911-01_000.png"
20;3;389;721;138;113;"Schubert_D911-01_000.png"
21;3;503;721;138;87;"Schubert_D911-01_000.png"
22;0;61;48;138;135;"Schubert_D911-01_001.png"
23;0;198;48;138;67;"Schubert_D911-01_001.png"
24;0;267;48;138;77;"Schubert_D911-01_001.png"
25;0;345;48;138;73;"Schubert_D911-01_001.png"
26;0;419;48;138;90;"Schubert_D911-01_001.png"
27;0;510;48;138;90;"Schubert_D911-01_001.png"
28;1;63;223;139;152;"Schubert_D911-01_001.png"
29;1;216;223;139;81;"Schubert_D911-01_001.png"
30;1;298;223;139;105;"Schubert_D911-01_001.png"
31;1;404;223;139;95;"Schubert_D911-01_001.png"
32;1;500;223;139;101;"Schubert_D911-01_001.png"
33;2;64;399;134;106;"Schubert_D911-01_001.png"
34;2;171;399;134;100;"Schubert_D911-01_001.png"
35;2;272;399;134;87;"Schubert_D911-01_001.png"
36;2;360;399;134;75;"Schubert_D911-01_001.png"
37;2;436;399;134;86;"Schubert_D911-01_001.png"
38;2;523;399;134;75;"Schubert_D911-01_001.png"
7;1;90;364;144;89;"Schubert_D911-01_000.png"
8;1;180;364;144;97;"Schubert_D911-01_000.png"
9;1;278;364;144;108;"Schubert_D911-01_000.png"
10;1;387;364;144;121;"Schubert_D911-01_000.png"
11;1;509;364;144;82;"Schubert_D911-01_000.png"
12;2;50;546;143;129;"Schubert_D911-01_000.png"
13;2;180;546;143;92;"Schubert_D911-01_000.png"
