measure;rowindex;x;y;height;width;image
1;0;93;138;68;202;"Schubert_D911-15_000.png"
2;0;296;138;68;142;"Schubert_D911-15_000.png"
3;0;439;138;68;161;"Schubert_D911-15_000.png"
4;1;57;244;124;176;"Schubert_D911-15_000.png"
5;1;234;244;124;114;"Schubert_D911-15_000.png"
6;1;349;244;124;116;"Schubert_D911-15_000.png"
7;1;466;244;124;134;"Schubert_D911-15_000.png"
8;2;58;406;130;171;"Schubert_D911-15_000.png"
9;2;230;406;130;123;"Schubert_D911-15_000.png"
10;2;354;406;130;118;"Schubert_D911-15_000.png"
11;2;473;406;130;131;"Schubert_D911-15_000.png"
12;3;59;574;124;169;"Schubert_D911-15_000.png"
13;3;229;574;124;123;"Schubert_D911-15_000.png"
14;3;354;574;124;122;"Schubert_D911-15_000.png"
15;3;478;574;124;125;"Schubert_D911-15_000.png"
16;4;61;732;128;167;"Schubert_D911-15_000.png"
17;4;228;732;128;128;"Schubert_D911-15_000.png"
18;4;357;732;128;119;"Schubert_D911-15_000.png"
19;4;478;732;128;126;"Schubert_D911-15_000.png"
20;0;55;63;110;174;"Schubert_D911-15_001.png"
21;0;231;63;110;114;"Schubert_D911-15_001.png"
22;0;346;63;110;116;"Schubert_D911-15_001.png"
23;0;463;63;110;139;"Schubert_D911-15_001.png"
24;1;57;201;115;170;"Schubert_D911-15_001.png"
25;1;228;201;115;111;"Schubert_D911-15_001.png"
26;1;340;201;115;133;"Schubert_D911-15_001.png"
27;1;473;201;115;131;"Schubert_D911-15_001.png"
28;2;56;348;126;172;"Schubert_D911-15_001.png"
29;2;230;348;126;121;"Schubert_D911-15_001.png"
30;2;352;348;126;125;"Schubert_D911-15_001.png"
31;2;478;348;126;125;"Schubert_D911-15_001.png"
32;3;56;499;131;170;"Schubert_D911-15_001.png"
33;3;228;499;131;132;"Schubert_D911-15_001.png"
34;3;362;499;131;116;"Schubert_D911-15_001.png"
35;3;479;499;131;123;"Schubert_D911-15_001.png"
36;4;55;653;122;180;"Schubert_D911-15_001.png"
37;4;237;653;122;120;"Schubert_D911-15_001.png"
38;4;358;653;122;125;"Schubert_D911-15_001.png"
39;4;484;653;122;117;"Schubert_D911-15_001.png"
40;5;55;805;74;190;"Schubert_D911-15_001.png"
41;5;247;805;74;149;"Schubert_D911-15_001.png"
42;5;397;805;74;145;"Schubert_D911-15_001.png"
43;5;543;805;74;52;"Schubert_D911-15_001.png"
