measure;rowindex;x;y;height;width;image
1;0;81;136;74;279;"Schubert_D911-17_000.png"
2;0;362;136;74;230;"Schubert_D911-17_000.png"
3;1;45;260;67;285;"Schubert_D911-17_000.png"
4;1;332;260;67;258;"Schubert_D911-17_000.png"
5;2;47;376;126;272;"Schubert_D911-17_000.png"
6;2;320;376;126;269;"Schubert_D911-17_000.png"
7;3;47;550;129;288;"Schubert_D911-17_000.png"
8;3;336;550;129;254;"Schubert_D911-17_000.png"
9;4;46;728;123;298;"Schubert_D911-17_000.png"
10;4;345;728;123;243;"Schubert_D911-17_000.png"
11;0;55;56;109;285;"Schubert_D911-17_001.png"
12;0;342;56;109;259;"Schubert_D911-17_001.png"
13;1;55;189;106;284;"Schubert_D911-17_001.png"
14;1;341;189;106;261;"Schubert_D911-17_001.png"
15;2;57;326;110;275;"Schubert_D911-17_001.png"
16;2;333;326;110;270;"Schubert_D911-17_001.png"
17;3;55;460;106;260;"Schubert_D911-17_001.png"
18;3;317;460;106;286;"Schubert_D911-17_001.png"
19;4;57;601;120;189;"Schubert_D911-17_001.png"
20;4;247;601;120;161;"Schubert_D911-17_001.png"
21;4;409;601;120;194;"Schubert_D911-17_001.png"
22;5;55;748;121;282;"Schubert_D911-17_001.png"
23;5;339;748;121;263;"Schubert_D911-17_001.png"
24;0;49;67;129;216;"Schubert_D911-17_002.png"
25;0;267;67;129;162;"Schubert_D911-17_002.png"
26;0;430;67;129;165;"Schubert_D911-17_002.png"
27;1;52;232;114;195;"Schubert_D911-17_002.png"
28;1;248;232;114;146;"Schubert_D911-17_002.png"
29;1;395;232;114;199;"Schubert_D911-17_002.png"
30;2;51;390;121;284;"Schubert_D911-17_002.png"
31;2;337;390;121;257;"Schubert_D911-17_002.png"
32;3;52;556;126;291;"Schubert_D911-17_002.png"
33;3;343;556;126;251;"Schubert_D911-17_002.png"
34;4;52;724;127;288;"Schubert_D911-17_002.png"
35;4;342;724;128;252;"Schubert_D911-17_002.png"
36;0;61;68;120;287;"Schubert_D911-17_003.png"
37;0;349;68;120;255;"Schubert_D911-17_003.png"
38;1;60;231;129;177;"Schubert_D911-17_003.png"
39;1;239;231;129;123;"Schubert_D911-17_003.png"
40;1;363;231;129;242;"Schubert_D911-17_003.png"
41;2;61;405;121;289;"Schubert_D911-17_003.png"
42;2;352;405;121;253;"Schubert_D911-17_003.png"
43;3;62;572;128;167;"Schubert_D911-17_003.png"
44;3;230;572;128;106;"Schubert_D911-17_003.png"
45;3;337;572;128;96;"Schubert_D911-17_003.png"
46;3;434;572;128;171;"Schubert_D911-17_003.png"
47;4;61;743;105;271;"Schubert_D911-17_003.png"
48;4;333;743;105;223;"Schubert_D911-17_003.png"
49;4;557;743;105;44;"Schubert_D911-17_003.png"
