measure;rowindex;x;y;height;width;image
1;0;84;135;136;100;"Schubert_D911-09_000.png"
2;0;186;135;136;60;"Schubert_D911-09_000.png"
3;0;247;135;136;164;"Schubert_D911-09_000.png"
4;0;412;135;136;72;"Schubert_D911-09_000.png"
5;0;485;135;136;110;"Schubert_D911-09_000.png"
6;1;52;318;151;125;"Schubert_D911-09_000.png"
7;1;178;318;151;153;"Schubert_D911-09_000.png"
8;1;332;318;151;71;"Schubert_D911-09_000.png"
9;1;404;318;151;100;"Schubert_D911-09_000.png"
10;1;505;318;151;90;"Schubert_D911-09_000.png"
11;2;53;516;151;169;"Schubert_D911-09_000.png"
12;2;223;516;151;44;"Schubert_D911-09_000.png"
13;2;268;516;151;152;"Schubert_D911-09_000.png"
14;2;421;516;151;43;"Schubert_D911-09_000.png"
15;2;465;516;151;130;"Schubert_D911-09_000.png"
16;3;54;714;147;87;"Schubert_D911-09_000.png"
17;3;142;714;147;97;"Schubert_D911-09_000.png"
18;3;240;714;147;107;"Schubert_D911-09_000.png"
19;3;348;714;147;157;"Schubert_D911-09_000.png"
20;3;506;714;147;89;"Schubert_D911-09_000.png"
21;0;55;61;137;147;"Schubert_D911-09_001.png"
22;0;203;61;137;79;"Schubert_D911-09_001.png"
23;0;283;61;137;117;"Schubert_D911-09_001.png"
24;0;401;61;137;49;"Schubert_D911-09_001.png"
25;0;451;61;137;146;"Schubert_D911-09_001.png"
26;1;55;232;130;91;"Schubert_D911-09_001.png"
27;1;147;232;130;139;"Schubert_D911-09_001.png"
28;1;287;232;130;82;"Schubert_D911-09_001.png"
29;1;370;232;130;124;"Schubert_D911-09_001.png"
30;1;495;232;130;103;"Schubert_D911-09_001.png"
31;2;55;401;127;187;"Schubert_D911-09_001.png"
32;2;243;401;127;84;"Schubert_D911-09_001.png"
33;2;328;401;127;155;"Schubert_D911-09_001.png"
34;2;484;401;127;114;"Schubert_D911-09_001.png"
35;3;55;566;129;186;"Schubert_D911-09_001.png"
36;3;242;566;129;84;"Schubert_D911-09_001.png"
37;3;327;566;129;160;"Schubert_D911-09_001.png"
38;3;488;566;129;111;"Schubert_D911-09_001.png"
39;4;55;735;134;185;"Schubert_D911-09_001.png"
40;4;241;735;134;68;"Schubert_D911-09_001.png"
41;4;310;735;134;73;"Schubert_D911-09_001.png"
42;4;384;735;134;139;"Schubert_D911-09_001.png"
43;4;524;735;134;72;"Schubert_D911-09_001.png"
