measure;rowindex;x;y;height;width;image
0;0;87;114;121;76;"Schubert_D911-11_000.png"
1;0;164;114;121;110;"Schubert_D911-11_000.png"
2;0;275;114;121;101;"Schubert_D911-11_000.png"
3;0;377;114;121;114;"Schubert_D911-11_000.png"
4;0;492;114;121;103;"Schubert_D911-11_000.png"
5;1;53;269;116;173;"Schubert_D911-11_000.png"
6;1;227;269;116;116;"Schubert_D911-11_000.png"
7;1;344;269;116;141;"Schubert_D911-11_000.png"
8;1;486;269;116;109;"Schubert_D911-11_000.png"
9;2;52;418;115;171;"Schubert_D911-11_000.png"
10;2;224;418;115;108;"Schubert_D911-11_000.png"
11;2;333;418;115;139;"Schubert_D911-11_000.png"
12;2;473;418;115;122;"Schubert_D911-11_000.png"
13;3;52;571;126;155;"Schubert_D911-11_000.png"
14;3;208;571;126;85;"Schubert_D911-11_000.png"
15;3;294;571;126;93;"Schubert_D911-11_000.png"
16;3;388;571;126;113;"Schubert_D911-11_000.png"
17;3;502;571;126;93;"Schubert_D911-11_000.png"
18;4;50;733;125;170;"Schubert_D911-11_000.png"
19;4;222;733;125;109;"Schubert_D911-11_000.png"
20;4;332;733;125;120;"Schubert_D911-11_000.png"
21;4;453;733;125;142;"Schubert_D911-11_000.png"
22;0;57;58;124;209;"Schubert_D911-11_001.png"
23;0;267;58;124;170;"Schubert_D911-11_001.png"
24;0;438;58;124;161;"Schubert_D911-11_001.png"
25;1;58;234;122;195;"Schubert_D911-11_001.png"
26;1;254;234;122;129;"Schubert_D911-11_001.png"
27;1;384;234;122;110;"Schubert_D911-11_001.png"
28;1;495;234;122;106;"Schubert_D911-11_001.png"
29;2;59;402;127;137;"Schubert_D911-11_001.png"
30;2;196;402;127;109;"Schubert_D911-11_001.png"
31;2;305;402;127;120;"Schubert_D911-11_001.png"
32;2;425;402;127;85;"Schubert_D911-11_001.png"
33;2;510;402;127;91;"Schubert_D911-11_001.png"
34;3;59;571;130;129;"Schubert_D911-11_001.png"
35;3;189;571;130;108;"Schubert_D911-11_001.png"
36;3;298;571;130;86;"Schubert_D911-11_001.png"
37;3;385;571;130;119;"Schubert_D911-11_001.png"
38;3;505;571;130;98;"Schubert_D911-11_001.png"
39;4;58;740;127;164;"Schubert_D911-11_001.png"
40;4;224;740;127;90;"Schubert_D911-11_001.png"
41;4;315;740;127;111;"Schubert_D911-11_001.png"
42;4;427;740;127;69;"Schubert_D911-11_001.png"
43;4;497;740;127;87;"Schubert_D911-11_001.png"
44;0;56;55;132;140;"Schubert_D911-11_002.png"
45;0;197;55;132;99;"Schubert_D911-11_002.png"
46;0;297;55;132;92;"Schubert_D911-11_002.png"
47;0;390;55;132;114;"Schubert_D911-11_002.png"
48;0;505;55;132;93;"Schubert_D911-11_002.png"
49;1;55;225;129;157;"Schubert_D911-11_002.png"
50;1;213;225;129;95;"Schubert_D911-11_002.png"
51;1;309;225;129;103;"Schubert_D911-11_002.png"
52;1;413;225;129;85;"Schubert_D911-11_002.png"
53;1;499;225;129;98;"Schubert_D911-11_002.png"
54;2;54;389;127;154;"Schubert_D911-11_002.png"
55;2;209;389;127;139;"Schubert_D911-11_002.png"
56;2;349;389;127;121;"Schubert_D911-11_002.png"
57;2;471;389;127;126;"Schubert_D911-11_002.png"
58;3;53;554;137;129;"Schubert_D911-11_002.png"
59;3;183;554;137;94;"Schubert_D911-11_002.png"
60;3;278;554;137;114;"Schubert_D911-11_002.png"
61;3;393;554;137;93;"Schubert_D911-11_002.png"
62;3;487;554;137;110;"Schubert_D911-11_002.png"
63;4;51;728;135;147;"Schubert_D911-11_002.png"
64;4;200;728;135;128;"Schubert_D911-11_002.png"
65;4;329;728;135;112;"Schubert_D911-11_002.png"
66;4;442;728;135;154;"Schubert_D911-11_002.png"
67;0;51;55;131;166;"Schubert_D911-11_003.png"
68;0;219;55;131;123;"Schubert_D911-11_003.png"
69;0;343;55;131;132;"Schubert_D911-11_003.png"
70;0;476;55;131;107;"Schubert_D911-11_003.png"
71;1;53;233;133;139;"Schubert_D911-11_003.png"
72;1;192;233;133;95;"Schubert_D911-11_003.png"
73;1;287;233;133;98;"Schubert_D911-11_003.png"
74;1;386;233;133;100;"Schubert_D911-11_003.png"
75;1;486;233;133;112;"Schubert_D911-11_003.png"
76;2;55;402;132;160;"Schubert_D911-11_003.png"
77;2;215;402;132;126;"Schubert_D911-11_003.png"
78;2;341;402;132;120;"Schubert_D911-11_003.png"
79;2;461;402;132;139;"Schubert_D911-11_003.png"
80;3;55;571;130;141;"Schubert_D911-11_003.png"
81;3;195;571;130;132;"Schubert_D911-11_003.png"
82;3;330;571;130;103;"Schubert_D911-11_003.png"
83;3;434;571;130;166;"Schubert_D911-11_003.png"
84;4;57;734;129;153;"Schubert_D911-11_003.png"
85;4;211;734;129;154;"Schubert_D911-11_003.png"
86;4;366;734;129;82;"Schubert_D911-11_003.png"
87;4;449;734;129;104;"Schubert_D911-11_003.png"
88;4;554;734;129;44;"Schubert_D911-11_003.png"
