measure;rowindex;x;y;height;width;image
0;0;80;143;136;84;"Schubert_D911-19_000.png"
1;0;164;143;136;95;"Schubert_D911-19_000.png"
2;0;259;143;136;99;"Schubert_D911-19_000.png"
3;0;359;143;136;110;"Schubert_D911-19_000.png"
4;0;470;143;136;118;"Schubert_D911-19_000.png"
5;1;44;327;143;140;"Schubert_D911-19_000.png"
6;1;186;327;143;92;"Schubert_D911-19_000.png"
7;1;278;327;143;110;"Schubert_D911-19_000.png"
8;1;389;326;143;96;"Schubert_D911-19_000.png"
9;1;486;327;143;103;"Schubert_D911-19_000.png"
10;2;46;515;141;138;"Schubert_D911-19_000.png"
11;2;185;515;141;125;"Schubert_D911-19_000.png"
12;2;311;515;141;98;"Schubert_D911-19_000.png"
13;2;410;515;141;90;"Schubert_D911-19_000.png"
14;2;501;515;141;90;"Schubert_D911-19_000.png"
15;3;47;707;146;151;"Schubert_D911-19_000.png"
16;3;200;707;146;88;"Schubert_D911-19_000.png"
17;3;289;707;146;90;"Schubert_D911-19_000.png"
18;3;380;707;146;90;"Schubert_D911-19_000.png"
19;3;471;707;146;123;"Schubert_D911-19_000.png"
20;0;52;68;127;140;"Schubert_D911-19_001.png"
21;0;192;68;127;84;"Schubert_D911-19_001.png"
22;0;276;68;127;113;"Schubert_D911-19_001.png"
23;0;390;68;127;106;"Schubert_D911-19_001.png"
24;0;496;68;127;100;"Schubert_D911-19_001.png"
25;1;54;237;129;140;"Schubert_D911-19_001.png"
26;1;195;237;129;108;"Schubert_D911-19_001.png"
27;1;304;237;129;93;"Schubert_D911-19_001.png"
28;1;398;237;129;103;"Schubert_D911-19_001.png"
29;1;502;237;129;97;"Schubert_D911-19_001.png"
30;2;54;407;127;135;"Schubert_D911-19_001.png"
31;2;190;407;127;92;"Schubert_D911-19_001.png"
32;2;283;407;127;109;"Schubert_D911-19_001.png"
33;2;393;407;127;100;"Schubert_D911-19_001.png"
34;2;493;407;127;107;"Schubert_D911-19_001.png"
35;3;56;568;125;150;"Schubert_D911-19_001.png"
36;3;206;568;125;128;"Schubert_D911-19_001.png"
37;3;336;568;125;133;"Schubert_D911-19_001.png"
38;3;468;568;125;132;"Schubert_D911-19_001.png"
39;4;58;730;136;163;"Schubert_D911-19_001.png"
40;4;222;730;136;115;"Schubert_D911-19_001.png"
41;4;338;730;136;102;"Schubert_D911-19_001.png"
42;4;441;730;136;103;"Schubert_D911-19_001.png"
43;4;547;730;136;51;"Schubert_D911-19_001.png"
