measure;rowindex;x;y;height;width;image
1;0;107;115;114;207;"Schubert_D911-04_000.png"
2;0;315;115;114;148;"Schubert_D911-04_000.png"
3;0;464;115;114;148;"Schubert_D911-04_000.png"
4;1;72;264;117;165;"Schubert_D911-04_000.png"
5;1;238;264;117;123;"Schubert_D911-04_000.png"
6;1;362;264;117;125;"Schubert_D911-04_000.png"
7;1;488;264;117;125;"Schubert_D911-04_000.png"
8;2;72;421;120;168;"Schubert_D911-04_000.png"
9;2;242;421;120;121;"Schubert_D911-04_000.png"
10;2;364;421;120;123;"Schubert_D911-04_000.png"
11;2;488;421;120;126;"Schubert_D911-04_000.png"
12;3;73;581;121;164;"Schubert_D911-04_000.png"
13;3;239;581;121;122;"Schubert_D911-04_000.png"
14;3;362;581;121;127;"Schubert_D911-04_000.png"
15;3;490;581;121;125;"Schubert_D911-04_000.png"
16;4;74;742;117;174;"Schubert_D911-04_000.png"
17;4;250;742;117;123;"Schubert_D911-04_000.png"
18;4;374;742;117;125;"Schubert_D911-04_000.png"
19;4;500;742;117;116;"Schubert_D911-04_000.png"
20;0;59;51;112;168;"Schubert_D911-04_001.png"
21;0;229;51;112;122;"Schubert_D911-04_001.png"
22;0;352;51;112;125;"Schubert_D911-04_001.png"
23;0;478;51;112;121;"Schubert_D911-04_001.png"
24;1;59;193;115;180;"Schubert_D911-04_001.png"
25;1;241;193;115;118;"Schubert_D911-04_001.png"
26;1;360;193;115;121;"Schubert_D911-04_001.png"
27;1;482;193;115;117;"Schubert_D911-04_001.png"
28;2;59;336;117;171;"Schubert_D911-04_001.png"
29;2;231;336;117;126;"Schubert_D911-04_001.png"
30;2;358;336;117;125;"Schubert_D911-04_001.png"
31;2;484;336;117;115;"Schubert_D911-04_001.png"
32;3;58;481;110;161;"Schubert_D911-04_001.png"
33;3;221;481;110;118;"Schubert_D911-04_001.png"
34;3;340;481;110;129;"Schubert_D911-04_001.png"
35;3;470;481;110;128;"Schubert_D911-04_001.png"
36;4;58;621;115;166;"Schubert_D911-04_001.png"
37;4;226;621;115;125;"Schubert_D911-04_001.png"
38;4;352;621;115;127;"Schubert_D911-04_001.png"
39;4;480;621;115;119;"Schubert_D911-04_001.png"
40;5;59;761;114;178;"Schubert_D911-04_001.png"
41;5;238;761;114;119;"Schubert_D911-04_001.png"
42;5;358;761;114;120;"Schubert_D911-04_001.png"
43;5;479;761;114;120;"Schubert_D911-04_001.png"
44;0;54;63;131;162;"Schubert_D911-04_002.png"
45;0;218;63;131;123;"Schubert_D911-04_002.png"
46;0;342;63;131;125;"Schubert_D911-04_002.png"
47;0;468;63;131;127;"Schubert_D911-04_002.png"
48;1;55;231;127;164;"Schubert_D911-04_002.png"
49;1;221;231;127;130;"Schubert_D911-04_002.png"
50;1;352;231;127;131;"Schubert_D911-04_002.png"
51;1;484;231;127;112;"Schubert_D911-04_002.png"
52;2;58;398;131;160;"Schubert_D911-04_002.png"
53;2;219;398;131;119;"Schubert_D911-04_002.png"
54;2;339;398;131;141;"Schubert_D911-04_002.png"
55;2;481;398;131;116;"Schubert_D911-04_002.png"
56;3;58;569;125;170;"Schubert_D911-04_002.png"
57;3;230;569;125;129;"Schubert_D911-04_002.png"
58;3;360;569;125;135;"Schubert_D911-04_002.png"
59;3;496;569;125;103;"Schubert_D911-04_002.png"
60;4;60;732;129;163;"Schubert_D911-04_002.png"
61;4;224;732;129;133;"Schubert_D911-04_002.png"
62;4;358;732;129;124;"Schubert_D911-04_002.png"
63;4;483;732;129;117;"Schubert_D911-04_002.png"
64;0;54;55;109;213;"Schubert_D911-04_003.png"
65;0;268;55;109;163;"Schubert_D911-04_003.png"
66;0;431;55;109;163;"Schubert_D911-04_003.png"
67;1;53;192;110;205;"Schubert_D911-04_003.png"
68;1;259;192;110;161;"Schubert_D911-04_003.png"
69;1;421;192;110;173;"Schubert_D911-04_003.png"
70;2;52;336;107;206;"Schubert_D911-04_003.png"
71;2;260;336;107;169;"Schubert_D911-04_003.png"
72;2;430;336;107;164;"Schubert_D911-04_003.png"
73;3;51;478;116;164;"Schubert_D911-04_003.png"
74;3;216;478;116;123;"Schubert_D911-04_003.png"
75;3;341;478;116;127;"Schubert_D911-04_003.png"
76;3;470;478;116;123;"Schubert_D911-04_003.png"
77;4;51;622;108;164;"Schubert_D911-04_003.png"
78;4;217;622;108;122;"Schubert_D911-04_003.png"
79;4;340;622;108;129;"Schubert_D911-04_003.png"
80;4;470;622;108;123;"Schubert_D911-04_003.png"
81;5;51;757;122;180;"Schubert_D911-04_003.png"
82;5;233;758;121;121;"Schubert_D911-04_003.png"
83;5;355;758;121;116;"Schubert_D911-04_003.png"
84;5;472;758;121;120;"Schubert_D911-04_003.png"
85;0;58;55;119;172;"Schubert_D911-04_004.png"
86;0;232;55;119;122;"Schubert_D911-04_004.png"
87;0;355;55;119;126;"Schubert_D911-04_004.png"
88;0;482;55;119;118;"Schubert_D911-04_004.png"
89;1;60;209;113;162;"Schubert_D911-04_004.png"
90;1;224;209;113;118;"Schubert_D911-04_004.png"
91;1;343;209;113;131;"Schubert_D911-04_004.png"
92;1;475;209;113;126;"Schubert_D911-04_004.png"
93;2;62;354;114;167;"Schubert_D911-04_004.png"
94;2;230;354;114;128;"Schubert_D911-04_004.png"
95;2;359;354;114;129;"Schubert_D911-04_004.png"
96;2;489;354;114;113;"Schubert_D911-04_004.png"
97;3;62;498;117;172;"Schubert_D911-04_004.png"
98;3;236;498;117;120;"Schubert_D911-04_004.png"
99;3;357;498;117;123;"Schubert_D911-04_004.png"
100;3;481;498;117;121;"Schubert_D911-04_004.png"
101;4;63;654;124;172;"Schubert_D911-04_004.png"
102;4;237;654;124;129;"Schubert_D911-04_004.png"
103;4;367;654;124;114;"Schubert_D911-04_004.png"
104;4;482;654;124;120;"Schubert_D911-04_004.png"
105;5;64;811;64;153;"Schubert_D911-04_004.png"
106;5;219;811;64;115;"Schubert_D911-04_004.png"
107;5;335;811;64;114;"Schubert_D911-04_004.png"
108;5;450;811;64;114;"Schubert_D911-04_004.png"
109;5;565;811;64;33;"Schubert_D911-04_004.png"
