measure;rowindex;x;y;height;width;image
0;0;99;117;117;79;"Schubert_D911-02_000.png"
1;0;179;117;117;107;"Schubert_D911-02_000.png"
2;0;287;117;117;111;"Schubert_D911-02_000.png"
3;0;399;117;117;96;"Schubert_D911-02_000.png"
4;0;496;117;117;105;"Schubert_D911-02_000.png"
5;1;63;264;127;115;"Schubert_D911-02_000.png"
6;1;179;264;127;105;"Schubert_D911-02_000.png"
7;1;285;264;127;103;"Schubert_D911-02_000.png"
8;1;389;264;127;94;"Schubert_D911-02_000.png"
9;1;484;264;127;118;"Schubert_D911-02_000.png"
10;2;63;420;127;110;"Schubert_D911-02_000.png"
11;2;174;420;127;114;"Schubert_D911-02_000.png"
12;2;289;420;127;97;"Schubert_D911-02_000.png"
13;2;387;420;127;104;"Schubert_D911-02_000.png"
14;2;492;420;127;110;"Schubert_D911-02_000.png"
15;3;62;575;119;142;"Schubert_D911-02_000.png"
16;3;206;575;119;130;"Schubert_D911-02_000.png"
17;3;337;575;119;123;"Schubert_D911-02_000.png"
18;3;461;575;119;142;"Schubert_D911-02_000.png"
19;4;63;724;139;131;"Schubert_D911-02_000.png"
20;4;195;724;139;126;"Schubert_D911-02_000.png"
21;4;322;724;139;88;"Schubert_D911-02_000.png"
22;4;411;724;139;111;"Schubert_D911-02_000.png"
23;4;523;724;139;78;"Schubert_D911-02_000.png"
24;0;54;53;116;111;"Schubert_D911-02_001.png"
25;0;166;53;116;103;"Schubert_D911-02_001.png"
26;0;270;53;116;96;"Schubert_D911-02_001.png"
27;0;367;53;116;106;"Schubert_D911-02_001.png"
28;0;474;53;116;120;"Schubert_D911-02_001.png"
29;1;54;199;129;109;"Schubert_D911-02_001.png"
30;1;165;199;129;113;"Schubert_D911-02_001.png"
31;1;279;199;129;85;"Schubert_D911-02_001.png"
32;1;365;199;129;103;"Schubert_D911-02_001.png"
33;1;469;199;129;126;"Schubert_D911-02_001.png"
34;2;55;358;113;98;"Schubert_D911-02_001.png"
35;2;154;358;113;124;"Schubert_D911-02_001.png"
36;2;279;358;113;93;"Schubert_D911-02_001.png"
37;2;373;358;113;105;"Schubert_D911-02_001.png"
38;2;479;358;113;117;"Schubert_D911-02_001.png"
39;3;56;508;113;144;"Schubert_D911-02_001.png"
40;3;201;508;113;136;"Schubert_D911-02_001.png"
41;3;338;508;113;112;"Schubert_D911-02_001.png"
42;3;451;508;113;146;"Schubert_D911-02_001.png"
43;4;56;646;127;116;"Schubert_D911-02_001.png"
44;4;173;646;127;129;"Schubert_D911-02_001.png"
45;4;303;646;127;145;"Schubert_D911-02_001.png"
46;4;449;646;127;148;"Schubert_D911-02_001.png"
47;5;56;802;74;145;"Schubert_D911-02_001.png"
48;5;201;802;74;107;"Schubert_D911-02_001.png"
49;5;310;802;74;96;"Schubert_D911-02_001.png"
50;5;407;802;74;101;"Schubert_D911-02_001.png"
51;5;509;802;74;84;"Schubert_D911-02_001.png"
