measure;rowindex;x;y;height;width;image
1;0;90;129;168;97;"Schubert_D911-23_000.png"
2;0;188;129;168;134;"Schubert_D911-23_000.png"
3;0;323;129;168;112;"Schubert_D911-23_000.png"
4;0;436;129;168;156;"Schubert_D911-23_000.png"
5;1;51;311;175;134;"Schubert_D911-23_000.png"
6;1;186;311;175;138;"Schubert_D911-23_000.png"
7;1;325;311;175;118;"Schubert_D911-23_000.png"
8;1;444;311;175;148;"Schubert_D911-23_000.png"
9;2;51;498;175;162;"Schubert_D911-23_000.png"
10;2;214;498;175;118;"Schubert_D911-23_000.png"
11;2;333;498;175;130;"Schubert_D911-23_000.png"
12;2;464;498;175;128;"Schubert_D911-23_000.png"
13;3;52;689;174;180;"Schubert_D911-23_000.png"
14;3;233;689;174;132;"Schubert_D911-23_000.png"
15;3;366;689;174;115;"Schubert_D911-23_000.png"
16;3;482;689;174;110;"Schubert_D911-23_000.png"
1;0;59;46;163;216;"Schubert_D911-23_001.png"
2;0;276;46;163;138;"Schubert_D911-23_001.png"
3;0;415;46;163;183;"Schubert_D911-23_001.png"
4;1;59;215;159;208;"Schubert_D911-23_001.png"
5;1;268;215;159;163;"Schubert_D911-23_001.png"
6;1;432;215;159;166;"Schubert_D911-23_001.png"
7;2;59;380;161;165;"Schubert_D911-23_001.png"
8;2;225;380;161;135;"Schubert_D911-23_001.png"
9;2;361;380;161;133;"Schubert_D911-23_001.png"
10;2;495;380;161;103;"Schubert_D911-23_001.png"
11;3;58;549;157;181;"Schubert_D911-23_001.png"
12;3;240;549;157;159;"Schubert_D911-23_001.png"
13;3;400;549;157;199;"Schubert_D911-23_001.png"
14;4;58;710;158;171;"Schubert_D911-23_001.png"
15;4;230;710;158;130;"Schubert_D911-23_001.png"
16;4;361;710;158;121;"Schubert_D911-23_001.png"
17;4;483;710;158;111;"Schubert_D911-23_001.png"
