measure;rowindex;x;y;height;width;image
1;0;98;131;80;243;"Schubert_D911-05_000.png"
2;0;342;131;80;75;"Schubert_D911-05_000.png"
3;0;417;131;80;184;"Schubert_D911-05_000.png"
4;1;64;254;80;204;"Schubert_D911-05_000.png"
5;1;267;254;80;162;"Schubert_D911-05_000.png"
6;1;430;254;80;112;"Schubert_D911-05_000.png"
7;1;543;254;80;58;"Schubert_D911-05_000.png"
8;2;59;375;131;138;"Schubert_D911-05_000.png"
9;2;198;375;131;79;"Schubert_D911-05_000.png"
10;2;279;375;131;68;"Schubert_D911-05_000.png"
11;2;348;375;131;79;"Schubert_D911-05_000.png"
12;2;428;375;131;82;"Schubert_D911-05_000.png"
13;2;512;375;131;90;"Schubert_D911-05_000.png"
14;3;58;547;142;123;"Schubert_D911-05_000.png"
15;3;182;547;142;88;"Schubert_D911-05_000.png"
16;3;271;547;142;86;"Schubert_D911-05_000.png"
17;3;359;547;142;88;"Schubert_D911-05_000.png"
18;3;448;547;142;69;"Schubert_D911-05_000.png"
19;3;518;547;142;81;"Schubert_D911-05_000.png"
20;4;55;730;139;147;"Schubert_D911-05_000.png"
21;4;203;730;139;100;"Schubert_D911-05_000.png"
22;4;303;730;139;78;"Schubert_D911-05_000.png"
23;4;383;730;139;98;"Schubert_D911-05_000.png"
24;4;482;730;139;79;"Schubert_D911-05_000.png"
25;0;53;63;128;229;"Schubert_D911-05_001.png"
26;0;283;63;128;59;"Schubert_D911-05_001.png"
27;0;343;63;128;179;"Schubert_D911-05_001.png"
28;0;523;63;128;74;"Schubert_D911-05_001.png"
29;1;53;233;128;166;"Schubert_D911-05_001.png"
30;1;221;233;128;117;"Schubert_D911-05_001.png"
31;1;339;233;128;141;"Schubert_D911-05_001.png"
32;1;481;233;128;117;"Schubert_D911-05_001.png"
33;2;56;401;126;151;"Schubert_D911-05_001.png"
34;2;208;401;126;111;"Schubert_D911-05_001.png"
35;2;320;401;126;131;"Schubert_D911-05_001.png"
36;2;452;401;126;112;"Schubert_D911-05_001.png"
37;3;57;568;131;173;"Schubert_D911-05_001.png"
38;3;231;568;131;118;"Schubert_D911-05_001.png"
39;3;350;568;131;128;"Schubert_D911-05_001.png"
40;3;479;568;131;122;"Schubert_D911-05_001.png"
41;4;60;741;129;171;"Schubert_D911-05_001.png"
42;4;232;741;129;119;"Schubert_D911-05_001.png"
43;4;352;741;129;128;"Schubert_D911-05_001.png"
44;4;481;741;129;121;"Schubert_D911-05_001.png"
45;0;58;63;132;212;"Schubert_D911-05_002.png"
46;0;272;63;132;159;"Schubert_D911-05_002.png"
47;0;432;63;132;170;"Schubert_D911-05_002.png"
48;1;58;244;123;212;"Schubert_D911-05_002.png"
49;1;272;244;123;159;"Schubert_D911-05_002.png"
50;1;432;244;123;169;"Schubert_D911-05_002.png"
51;2;59;417;125;294;"Schubert_D911-05_002.png"
52;2;354;417;125;248;"Schubert_D911-05_002.png"
53;3;60;588;124;301;"Schubert_D911-05_002.png"
54;3;362;588;124;239;"Schubert_D911-05_002.png"
55;4;60;750;117;223;"Schubert_D911-05_002.png"
56;4;284;750;117;177;"Schubert_D911-05_002.png"
57;4;462;750;117;55;"Schubert_D911-05_002.png"
58;4;518;750;117;84;"Schubert_D911-05_002.png"
59;0;52;53;126;169;"Schubert_D911-05_003.png"
60;0;222;53;126;116;"Schubert_D911-05_003.png"
61;0;339;53;126;134;"Schubert_D911-05_003.png"
62;0;474;53;126;118;"Schubert_D911-05_003.png"
63;1;52;208;129;148;"Schubert_D911-05_003.png"
64;1;201;208;129;89;"Schubert_D911-05_003.png"
65;1;291;208;129;102;"Schubert_D911-05_003.png"
66;1;395;208;129;93;"Schubert_D911-05_003.png"
67;1;489;208;129;103;"Schubert_D911-05_003.png"
68;2;52;366;131;148;"Schubert_D911-05_003.png"
69;2;201;366;131;103;"Schubert_D911-05_003.png"
70;2;305;366;131;88;"Schubert_D911-05_003.png"
71;2;393;366;131;103;"Schubert_D911-05_003.png"
72;2;497;366;131;96;"Schubert_D911-05_003.png"
73;3;50;530;124;176;"Schubert_D911-05_003.png"
74;3;227;530;124;118;"Schubert_D911-05_003.png"
75;3;346;530;124;130;"Schubert_D911-05_003.png"
76;3;478;530;124;116;"Schubert_D911-05_003.png"
77;4;52;689;73;259;"Schubert_D911-05_003.png"
78;4;311;689;73;68;"Schubert_D911-05_003.png"
79;4;379;689;73;215;"Schubert_D911-05_003.png"
80;5;52;794;75;266;"Schubert_D911-05_003.png"
81;5;318;794;75;218;"Schubert_D911-05_003.png"
82;5;537;794;74;53;"Schubert_D911-05_003.png"
