measure;rowindex;x;y;height;width;image
1;0;98;133;129;133;"Schubert_D911-22_000.png"
2;0;232;133;129;98;"Schubert_D911-22_000.png"
3;0;331;133;129;97;"Schubert_D911-22_000.png"
4;0;429;133;129;58;"Schubert_D911-22_000.png"
5;0;487;133;129;111;"Schubert_D911-22_000.png"
6;1;59;293;117;116;"Schubert_D911-22_000.png"
7;1;176;293;117;55;"Schubert_D911-22_000.png"
8;1;232;293;117;129;"Schubert_D911-22_000.png"
9;1;362;293;117;62;"Schubert_D911-22_000.png"
10;1;425;293;117;125;"Schubert_D911-22_000.png"
11;1;551;293;117;48;"Schubert_D911-22_000.png"
12;2;58;441;124;132;"Schubert_D911-22_000.png"
13;2;191;441;124;86;"Schubert_D911-22_000.png"
14;2;278;441;124;51;"Schubert_D911-22_000.png"
15;2;330;441;124;107;"Schubert_D911-22_000.png"
16;2;438;441;124;52;"Schubert_D911-22_000.png"
17;2;491;441;124;107;"Schubert_D911-22_000.png"
18;3;56;595;128;79;"Schubert_D911-22_000.png"
19;3;137;595;128;86;"Schubert_D911-22_000.png"
20;3;224;595;128;82;"Schubert_D911-22_000.png"
21;3;307;595;128;78;"Schubert_D911-22_000.png"
22;3;386;595;128;42;"Schubert_D911-22_000.png"
23;3;429;595;128;90;"Schubert_D911-22_000.png"
24;3;520;595;128;77;"Schubert_D911-22_000.png"
25;4;56;749;120;81;"Schubert_D911-22_000.png"
26;4;138;749;120;118;"Schubert_D911-22_000.png"
27;4;257;749;120;59;"Schubert_D911-22_000.png"
28;4;317;749;120;123;"Schubert_D911-22_000.png"
29;4;441;749;120;55;"Schubert_D911-22_000.png"
30;4;497;749;120;100;"Schubert_D911-22_000.png"
31;0;59;56;115;109;"Schubert_D911-22_001.png"
32;0;169;56;115;55;"Schubert_D911-22_001.png"
33;0;225;56;115;109;"Schubert_D911-22_001.png"
34;0;335;56;115;64;"Schubert_D911-22_001.png"
35;0;400;56;115;111;"Schubert_D911-22_001.png"
36;0;512;56;115;62;"Schubert_D911-22_001.png"
37;1;61;196;120;127;"Schubert_D911-22_001.png"
38;1;189;196;120;80;"Schubert_D911-22_001.png"
39;1;270;196;120;123;"Schubert_D911-22_001.png"
40;1;394;196;120;56;"Schubert_D911-22_001.png"
41;1;451;196;120;98;"Schubert_D911-22_001.png"
42;1;550;196;120;51;"Schubert_D911-22_001.png"
43;2;61;344;119;148;"Schubert_D911-22_001.png"
44;2;210;344;119;88;"Schubert_D911-22_001.png"
45;2;299;344;119;119;"Schubert_D911-22_001.png"
46;2;419;344;119;65;"Schubert_D911-22_001.png"
47;2;485;344;119;116;"Schubert_D911-22_001.png"
48;3;61;487;123;91;"Schubert_D911-22_001.png"
49;3;153;487;123;127;"Schubert_D911-22_001.png"
50;3;281;487;123;98;"Schubert_D911-22_001.png"
51;3;380;487;123;143;"Schubert_D911-22_001.png"
52;3;524;487;123;78;"Schubert_D911-22_001.png"
53;4;60;632;118;121;"Schubert_D911-22_001.png"
54;4;182;632;118;63;"Schubert_D911-22_001.png"
55;4;246;632;118;113;"Schubert_D911-22_001.png"
56;4;360;632;118;82;"Schubert_D911-22_001.png"
57;4;443;632;118;105;"Schubert_D911-22_001.png"
58;4;549;632;118;52;"Schubert_D911-22_001.png"
59;5;59;784;79;125;"Schubert_D911-22_001.png"
60;5;186;784;79;52;"Schubert_D911-22_001.png"
61;5;241;784;79;118;"Schubert_D911-22_001.png"
62;5;360;784;79;93;"Schubert_D911-22_001.png"
63;5;455;784;79;93;"Schubert_D911-22_001.png"
64;5;549;784;79;46;"Schubert_D911-22_001.png"
