Piece No.	Cat. Suffix	Tr. No.	Title	Artist	Length	Variation	Instruments Used
No. 1	M01	Tr. 01	Jive (Piano Solo)	Makoto Nakamura	3:22	Instrumentation 1	Pf
No. 2	M01	Tr. 02	For Two (Piano Solo)	Makoto Nakamura	6:15	Instrumentation 1	Pf
No. 3	M01	Tr. 03	Lounge Away (Piano Solo)	Takao Nagai	2:38	Instrumentation 1	Pf
No. 4	M01	Tr. 04	Crescent Serenade (Piano Solo)	Makoto Nakamura	2:47	Instrumentation 1	Pf
No. 5	M01	Tr. 05	Abyss (Piano Solo)	Takao Nagai	3:08	Instrumentation 1	Pf
No. 6	M01	Tr. 06	Jive (Guitar Solo)	Hiroo Chubachi	2:47	Instrumentation 2	Gt
No. 7	M01	Tr. 07	For Two (Guitar Solo)	Hiroo Chubachi	3:36	Instrumentation 2	Gt
No. 8	M01	Tr. 08	Lounge Away (Guitar Solo)	Satoshi Yamamoto	3:41	Instrumentation 2	Gt
No. 9	M01	Tr. 09	Crescent Serenade (Guitar Solo)	Satoshi Yamamoto	3:38	Instrumentation 2	Gt
No. 10	M01	Tr. 10	Abyss (Guitar Solo)	Hiroo Chubachi	3:20	Instrumentation 2	Gt
No. 11	M01	Tr. 11	Jive (Vib & Piano Duo)	Masahiro Kanno & Takao Nagai	4:05	Instrumentation 3	Vib & Pf
No. 12	M01	Tr. 12	For Two (Flute & Piano Duo)	Kazuma Ito & Hiroshi Haji	5:34	Instrumentation 3	Fl & Pf
No. 13	M01	Tr. 13	Lounge Away (Vib & Piano Duo)	Masahiro Kanno & Takao Nagai	3:47	Instrumentation 3	Vib & Pf
No. 14	M01	Tr. 14	Crescent Serenade (Piano & Bass Duo)	MN & NK	4:42	Instrumentation 3	Pf & Bs
No. 15	M01	Tr. 15	Abyss (Piano & Bass Duo)	MN & NK	4:32	Instrumentation 3	Pf & Bs
No. 16	M02	Tr. 01	Jive (Piano Trio)	Makoto Nakamura Trio	4:43	Instrumentation 4	Pf & Bs & Dr
No. 17	M02	Tr. 02	For Two (Piano Trio)	Makoto Nakamura Trio	6:51	Instrumentation 4	Pf & Bs & Dr
No. 18	M02	Tr. 03	Lounge Away (Piano Trio)	HIS Trio	5:22	Instrumentation 4	Pf & Bs & Dr
No. 19	M02	Tr. 04	Crescent Serenade (Piano Trio)	HIS Trio	5:15	Instrumentation 4	Pf & Bs & Dr
No. 20	M02	Tr. 05	Abyss (Piano Trio)	Takao Nagai Trio	5:41	Instrumentation 4	Pf & Bs & Dr
No. 21	M02	Tr. 06	Jive (Piano Trio & Tp)	Rick's	4:38	Instrumentation 5	Pf & Bs & Dr & Tp
No. 22	M02	Tr. 07	For Two (Piano Trio & Tp)	Rick's	7:16	Instrumentation 5	Pf & Bs & Dr & Tp
No. 23	M02	Tr. 08	Lounge Away (Piano Trio & Ts)	Tetsuya Ozawa Quartet	4:43	Instrumentation 5	Pf & Bs & Dr & Ts
No. 24	M02	Tr. 09	Crescent Serenade (Piano Trio & Ts)	Tetsuya Ozawa Quartet	4:55	Instrumentation 5	Pf & Bs & Dr & Ts
No. 25	M02	Tr. 10	Abyss (Piano Trio & Ts)	Tetsuya Ozawa Quartet	6:20	Instrumentation 5	Pf & Bs & Dr & Ts
No. 26	M03	Tr. 01	Jive (Octet)	YOU Band	3:31	Instrumentation 6	Pf & Bs & Dr & Gt & As & Bar & Ts × 2
No. 27	M03	Tr. 02	For Two (Octet)	YOU Band	3:47	Instrumentation 6	Pf & Bs & Dr & Gt & As & Bar & Ts × 2
No. 28	M03	Tr. 03	Lounge Away (Octet)	YOU Band	3:37	Instrumentation 6	Pf & Bs & Dr & Gt & As & Bar & Ts × 2
No. 29	M03	Tr. 04	Crescent Serenade (Octet)	YOU Band	4:07	Instrumentation 6	Pf & Bs & Dr & Gt & As & Bar & Ts × 2
No. 30	M03	Tr. 05	Abyss (Octet)	YOU Band	3:59	Instrumentation 6	Pf & Bs & Dr & Gt & As & Bar & Ts × 2
No. 31	M03	Tr. 06	Jive (Piano Trio & Vib)	Masahiro Kanno Quartet	5:09	Instrumentation 7	Pf & Bs & Dr & Vib
No. 32	M03	Tr. 07	For Two (Piano Trio & Vib)	Masahiro Kanno Quartet	5:40	Instrumentation 7	Pf & Bs & Dr & Vib
No. 33	M03	Tr. 08	Lounge Away (Piano Trio & Flute)	Kazuma Ito Quartet	4:13	Instrumentation 7	Pf & Bs & Dr & Fl
No. 34	M03	Tr. 09	Crescent Serenade (Piano Trio & Flute)	Kazuma Ito Quartet	5:52	Instrumentation 7	Pf & Bs & Dr & Fl
No. 35	M03	Tr. 10	Abyss (Piano Trio & Vib)	Masahiro Kanno Quartet	5:14	Instrumentation 7	Pf & Bs & Dr & Vib
No. 36	M04	Tr. 01	Dance Together	Nathan Ingram III	3:42	Style (Vocal jazz)	Pf & Bs & Dr & Tp & Vo
No. 37	M04	Tr. 02	Aura Lee	Aoi Kato	2:25	Style (Vocal jazz)	Pf & Bs & Dr & Vo
No. 38	M04	Tr. 03	The Entertainer	HH Band	3:08	Style (Big band jazz)	Pf & Bs & Dr & Gt & Tp & Tb & Ts & As & Bar & Fl
No. 39	M04	Tr. 04	Mo' Trippin'	HH Band	3:54	Style (Big band jazz)	Pf & Bs & Dr & Gt & Tp & Tb & Ts & As & Bar & Fl
No. 40	M04	Tr. 05	Image	Tetsuya Ozawa Quartet	7:41	Style (Modal jazz)	Pf & Bs & Dr & Ts
No. 41	M04	Tr. 06	Friction	Yutaka Umitsuki Quartet	6:05	Style (Modal jazz)	Pf & Bs & Dr & Ts
No. 42	M04	Tr. 07	Silent Night	U's Band	5:43	Style (Funky jazz)	Pf & Bs & Dr & Gt & Ts & As & Bar
No. 43	M04	Tr. 08	Down To The Earth	Yutaka Umitsuki Quartet	4:55	Style (Funky jazz)	Pf & Bs & Dr & Ts
No. 44	M04	Tr. 09	Joyful, Joyful, We Adore Thee	K's Band	4:30	Style (Free jazz)	Pf & Bs & Dr & Gt & Ts & Fl & Bar
No. 45	M04	Tr. 10	Morning View	22 Project Band	4:25	Fusion	Pf & Kb & Bs & Dr & Gt & Perc
No. 46	M04	Tr. 11	Formula	22 Project Band	3:24	Fusion	Pf & Kb & Bs & Dr & Gt & EWI
No. 47	M04	Tr. 12	Morning Star	22 Project Band	3:45	Fusion	Kb & Bs & Dr & Gt
No. 48	M04	Tr. 13	Latin Sacrifice	22 Project Band	4:02	Fusion	Pf & Kb & Bs & Dr & Gt & Perc
No. 49	M04	Tr. 14	Wolf	22 Project Band	3:02	Fusion	Kb × 2 & Bs & Dr & Gt
No. 50	M04	Tr. 15	Bird Of Paradise	22 Project Band	4:01	Fusion	Kb & Bs & Dr & Ss & Ts & Perc

