id,billboard_id,track_title,track_performer,file_path,jams_path
billboard_0,1069,Must Of Got Lost,The J. Geils Band,../../partitions/billboard/raw/original/1069/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_0.jams
billboard_1,0987,Baby I'm Burnin',Dolly Parton,../../partitions/billboard/raw/original/0987/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_1.jams
billboard_2,0389,Tenderness,General Public,../../partitions/billboard/raw/original/0389/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_2.jams
billboard_3,0973,Little Too Late,Pat Benatar,../../partitions/billboard/raw/original/0973/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_3.jams
billboard_4,0184,Always on My Mind,Pet Shop Boys,../../partitions/billboard/raw/original/0184/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_4.jams
billboard_5,1056,After The Love Has Gone,"Earth, Wind & Fire",../../partitions/billboard/raw/original/1056/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_5.jams
billboard_6,1290,Happy Together,The Turtles,../../partitions/billboard/raw/original/1290/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_6.jams
billboard_7,0170,Golden Earring,Twilight Zone,../../partitions/billboard/raw/original/0170/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_7.jams
billboard_8,0726,Would It Make Any Difference To You,Etta James,../../partitions/billboard/raw/original/0726/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_8.jams
billboard_9,0148,Spirits In The Material World,The Police,../../partitions/billboard/raw/original/0148/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_9.jams
billboard_10,0974,Kokomo (From The Cocktail Soundtrack),The Beach Boys,../../partitions/billboard/raw/original/0974/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_10.jams
billboard_11,0721,Help Is On The Way,Little River Band,../../partitions/billboard/raw/original/0721/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_11.jams
billboard_12,0177,I've Got Love On My Mind,Nathalie Cole,../../partitions/billboard/raw/original/0177/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_12.jams
billboard_13,0345,Doo Doo Doo Doo Doo,The Rolling Stones,../../partitions/billboard/raw/original/0345/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_13.jams
billboard_14,1297,Ebony Eyes,The Everly Brothers,../../partitions/billboard/raw/original/1297/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_14.jams
billboard_15,0183,Chiquitita,ABBA,../../partitions/billboard/raw/original/0183/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_15.jams
billboard_16,1051,My Kinda Lover,Billy Squier,../../partitions/billboard/raw/original/1051/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_16.jams
billboard_17,1263,Baby What You Want Me To Do,Jimmy Reed,../../partitions/billboard/raw/original/1263/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_17.jams
billboard_18,0728,Breaking Up Is Hard To Do,Neil Sedaka,../../partitions/billboard/raw/original/0728/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_18.jams
billboard_19,1058,Ain't No Sunshine,Bill Withers,../../partitions/billboard/raw/original/1058/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_19.jams
billboard_20,1093,I Can Help,Billy Swan,../../partitions/billboard/raw/original/1093/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_20.jams
billboard_21,0141,Shock the Monkey,Peter Gabriel,../../partitions/billboard/raw/original/0141/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_21.jams
billboard_22,0525,Trampled Under Foot,Led Zeppelin,../../partitions/billboard/raw/original/0525/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_22.jams
billboard_23,1067,Hurts To Be In Love,Gino Vanelli,../../partitions/billboard/raw/original/1067/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_23.jams
billboard_24,0387,Time Is On My Side,Rolling Stones,../../partitions/billboard/raw/original/0387/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_24.jams
billboard_25,0179,You Can't Judge A Book By The Cover,Bo Diddley,../../partitions/billboard/raw/original/0179/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_25.jams
billboard_26,0945,Riders On The Storm,The Doors,../../partitions/billboard/raw/original/0945/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_26.jams
billboard_27,0380,Best Thing That Ever Happened To Me,Gladys Knight & The Pips,../../partitions/billboard/raw/original/0380/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_27.jams
billboard_28,0522,Young Hearts Run Free,Candi Staton,../../partitions/billboard/raw/original/0522/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_28.jams
billboard_29,1094,There's No Other (Like My Baby),The Crystals,../../partitions/billboard/raw/original/1094/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_29.jams
billboard_30,1034,Sugar Magnolia,The Greatful Dead,../../partitions/billboard/raw/original/1034/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_30.jams
billboard_31,0582,I Don't Blame You At All,The Miracles,../../partitions/billboard/raw/original/0582/salami_chords.txt,../../partitions/billboard/choco/jams/billboard_31.jams
