SongID;PerformID;Duration;Key;Tuning
1;AL98;350.64;Cm;439.6
1;FI55;337.87;Cm;439.6
1;FI66;338.03;Cm;440.2
1;FI80;318.02;Cm;443.5
1;HU33;244.46;Cm;441.2
1;OL06;378.13;Cm;440.5
1;QU98;359.29;Bbm;444.6
1;SC06;325.33;Cm;439.5
1;TR99;341.27;Cm;441.4
2;AL98;105.4;Gm;439.9
2;FI55;107.52;Gm;439.8
2;FI66;106.03;Gm;440.6
2;FI80;110.03;Gm;443.7
2;HU33;101.15;Gm;441.4
2;OL06;107.24;Gm;440.7
2;QU98;103.13;Fm;444.9
2;SC06;95.66;Gm;439.5
2;TR99;107.47;Gm;442.2
3;AL98;159.63;Dm;439.9
3;FI55;156.29;Dm;439.7
3;FI66;157.02;Dm;440.4
3;FI80;135.55;Dm;443.5
3;HU33;150.33;Dm;440.6
3;OL06;159.29;D#m;440.5
3;QU98;140.97;Dm;444.7
3;SC06;137.17;D#m;439.5
3;TR99;170.4;Dm;442.2
4;AL98;183.27;Am;439.6
4;FI55;177.84;Am;439.4
4;FI66;178.03;Am;439.8
4;FI80;175.15;Am;443.2
4;HU33;178.61;Am;441.6
4;OL06;187.13;Bbm;440.8
4;QU98;164.69;Gm;444.4
4;SC06;159.84;Bbm;439.4
4;TR99;166.23;Am;442.4
5;AL98;283.2;E;439.6
5;FI55;288.37;E;439.5
5;FI66;281.03;E;440.2
5;FI80;288.37;E;443.4
5;HU33;274.41;E;441.5
5;OL06;293.07;D;440.5
5;QU98;300.93;D;444.2
5;SC06;289.44;D;439.2
5;TR99;282.67;E;441.6
6;AL98;236.93;Dm;439.7
6;FI55;272.77;Dm;439.9
6;FI66;250.02;Dm;440
6;FI80;275.54;Dm;442.3
6;HU33;259.6;Dm;440.8
6;OL06;286.85;Dm;440.5
6;QU98;275.24;Cm;444.4
6;SC06;240.43;Dm;439.5
6;TR99;283.2;Dm;441.2
7;AL98;212.17;Dm;439.6
7;FI55;234.74;Dm;439.5
7;FI66;225.02;Dm;439.9
7;FI80;210.86;Dm;442.3
7;HU33;187.34;Dm;440.8
7;OL06;222.04;Dm;440.6
7;QU98;206.45;Cm;444.4
7;SC06;190.56;Dm;439.3
7;TR99;246.37;Dm;441.5
8;AL98;133.4;Fm;439.8
8;FI55;145.95;Fm;439.7
8;FI66;146.03;Fm;440.7
8;FI80;149.21;Ebm;442
8;HU33;123.39;Fm;442.3
8;OL06;136.03;Fm;440.8
8;QU98;129.71;Ebm;445
8;SC06;114.08;Fm;439.7
8;TR99;134.87;Fm;442.3
9;AL98;161.43;Am;439.7
9;FI55;170.5;Am;439.6
9;FI66;153.03;Am;439.6
9;FI80;150.52;Am;442
9;HU33;132.59;Am;441.2
9;OL06;172.61;Am;440.8
