id,key,bar length,first chord
2,F minor,4,0
4,C major,4,70
7,A minor,4,114
8,Eb major,4,165
9,F minor,4,191
10,C major,4,228
12,C major,3,295
13,G major,2,361
14,C major,4,370
16,Ab major,4,416
17,Eb major,4,452
18,Eb major,4,506
19,C major,4,565
21,C minor,4,585
22,Bb major,4,649
28,F major,4,704
30,F major,4,736
31,F major,4,777
32,A minor,4,814
33,D minor,4,849
34,D minor,4,881
35,Eb major,4,927
36,F major,4,937
37,Bb major,4,991
38,G major,4,1014
41,A minor,4,1047
42,F major,4,1093
43,C minor,4,1157
44,F major,4,1191
45,D minor,4,1252
46,Bb major,4,1268
47,F major,4,1277
48,Bb major,3,1298
49,F major,4,1339
51,G major,4,1388
52,F major,4,1412
53,Bb major,4,1505
54,F major,4,1555
55,C major,4,1586
56,F major,4,1643
57,Eb major,4,1692
58,Bb major,4,1754
60,B major,4,1802
62,D minor,4,1829
63,Db major,4,1898
64,Bb major,3,1943
65,F major,4,1980
66,C major,4,2030
67,C major,4,2038
68,Bb major,4,2114
69,Bb minor,4,2159
70,F major,4,2173
71,C minor,3,2218
73,C minor,4,2224
76,D major,4,2254
79,D minor,4,2272
80,C major,4,2332
81,Bb major,4,2362
85,Bb major,4,2420
86,Ab major,4,2473
87,Ab major,4,2489
89,G major,4,2521
91,Db major,3,2573
92,C major,4,2583
93,C major,4,2639
94,Bb major,4,2686
96,G major,4,2762
98,F major,4,2796
99,F major,4,2816
100,C# minor,4,2881
103,Bb major,4,2889
104,C major,4,2949
107,Db major,4,2977
108,C major,3,3007
111,F major,4,3050
115,C,4,3061
