id,file_title,track_title,track_artist,track_mbid,file_path,jams_path
jaah_0,evidence,Evidence,Thelonious Monk,b438e7a3-91b9-4e43-9551-03b07036f3f3,../../partitions/jaah/raw/evidence.json,../../partitions/jaah/choco/jams/jaah_0.jams
jaah_1,parkers_mood,Parker's Mood,Charlie Parker All-Stars,c50ea630-b5f0-4c12-8e75-0321757d69a3,../../partitions/jaah/raw/parkers_mood.json,../../partitions/jaah/choco/jams/jaah_1.jams
jaah_2,grandpas_spells,Grandpa's Spells,Jelly Roll Morton's Red Hot Peppers,cc86ea4d-7a0b-443e-85f5-7352313de2e5,../../partitions/jaah/raw/grandpas_spells.json,../../partitions/jaah/choco/jams/jaah_2.jams
jaah_3,east_st_louis,East St. Louis Toodle-Oo,Duke Ellington & His Orchestra,20d24e07-a14b-4b44-b372-8ea3b9f21c4e,../../partitions/jaah/raw/east_st_louis.json,../../partitions/jaah/choco/jams/jaah_3.jams
jaah_4,honeysuckle_rose,Honeysuckle Rose,Benny Goodman and His Orchestra,0cd67ec0-b480-4d82-b38d-be022b71dd12,../../partitions/jaah/raw/honeysuckle_rose.json,../../partitions/jaah/choco/jams/jaah_4.jams
jaah_5,four_or_five_times,Four or Five Times,Jimmie Noone's Apex Club Orchestra,2483bae2-89a5-4c1f-aa76-a94ce6f2e09b,../../partitions/jaah/raw/four_or_five_times.json,../../partitions/jaah/choco/jams/jaah_5.jams
jaah_6,for_dancers_only,For Dancers Only,Jimmie Lunceford and His Orchestra,b26fa5c2-4ddf-48af-9bf7-bd9a9d7d9657,../../partitions/jaah/raw/for_dancers_only.json,../../partitions/jaah/choco/jams/jaah_6.jams
jaah_7,haig_and_haig,Haig & Haig,Clark Terry-Bob Brookmeyer Quintet,3a312349-bfa1-4e8d-bef3-3e151cb7b967,../../partitions/jaah/raw/haig_and_haig.json,../../partitions/jaah/choco/jams/jaah_7.jams
jaah_8,hotter_than_that,Hotter Than That,Louis Armstrong and His Hot Five,8fbdddb7-a518-46b3-9a2c-e0193669e002,../../partitions/jaah/raw/hotter_than_that.json,../../partitions/jaah/choco/jams/jaah_8.jams
jaah_9,st_thomas,St. Thomas,Sonny Rollins,31f6b5f1-96d1-47cf-84e2-371d277577c6,../../partitions/jaah/raw/st_thomas.json,
jaah_10,work_song,Work Song,Cannonball Adderley,1510f5f6-fd52-4676-a279-270c40bb4259,../../partitions/jaah/raw/work_song.json,../../partitions/jaah/choco/jams/jaah_10.jams
jaah_11,bags_groove,Bags' Groove,Thelonious Monk,c4267824-c699-4c45-a06f-441a0b1fc7b9,../../partitions/jaah/raw/bags_groove.json,../../partitions/jaah/choco/jams/jaah_11.jams
jaah_12,doggin_around,Doggin' Around,Count Basie & His Orchestra,699579f6-d24a-4c64-9950-b6281c8a3b2e,../../partitions/jaah/raw/doggin_around.json,../../partitions/jaah/choco/jams/jaah_12.jams
jaah_13,weather_bird,Weather Bird,Louis Armstrong; Earl Hines,d172970c-5751-44bf-8a45-65bc3223410e,../../partitions/jaah/raw/weather_bird.json,../../partitions/jaah/choco/jams/jaah_13.jams
jaah_14,struttin_with_some_barbecue,Struttin' With Some Barbecue,Louis Armstrong and His Hot Five,6259ce42-b0b2-4967-bb4a-a7c19d05ed4d,../../partitions/jaah/raw/struttin_with_some_barbecue.json,
jaah_15,black_water_blues,Black Water Blues,Bessie Smith; James P. Johnson,631a1e8b-184d-4967-b1ae-946c3e0a53c9,../../partitions/jaah/raw/black_water_blues.json,
jaah_16,the_preacher,The Preacher,Horace Silver; The Jazz Messengers,c7ff468d-f263-41a4-b644-a935f9290f1c,../../partitions/jaah/raw/the_preacher.json,../../partitions/jaah/choco/jams/jaah_16.jams
jaah_17,breakfast_feud,Breakfast Feud (composite) (feat. Charlie Christian),The Benny Goodman Sextet,3d672385-79a6-4aa6-94b8-af59a0447db1,../../partitions/jaah/raw/breakfast_feud.json,../../partitions/jaah/choco/jams/jaah_17.jams
jaah_18,big_butter_and_eggman,Big Butter and Egg Man From the West,Louis Armstrong and His Hot Seven,e3d72af4-c47b-422f-87b6-4218b68d2b7c,../../partitions/jaah/raw/big_butter_and_eggman.json,../../partitions/jaah/choco/jams/jaah_18.jams
jaah_19,night_in_tunisia,Night in Tunisia,Bud Powell Trio,a0acca3d-7d17-4ee8-8087-e5d4b46fa047,../../partitions/jaah/raw/night_in_tunisia.json,../../partitions/jaah/choco/jams/jaah_19.jams
jaah_20,in_a_mellotone,In a Mellotone,Duke Ellington & His Orchestra,0d8187d0-854e-4221-adc4-95a49663020b,../../partitions/jaah/raw/in_a_mellotone.json,../../partitions/jaah/choco/jams/jaah_20.jams
jaah_21,boplicity,Boplicity,Miles Davis Nonet,75711684-1e71-4c0f-8070-89a82520552e,../../partitions/jaah/raw/boplicity.json,../../partitions/jaah/choco/jams/jaah_21.jams
jaah_22,blue_horizon,Blue Horizon,Sidney Bechet’s Blue Note Jazzmen,6a278fcb-224c-4c63-9e65-48cf3f0c1232,../../partitions/jaah/raw/blue_horizon.json,../../partitions/jaah/choco/jams/jaah_22.jams
jaah_23,pentup_house,Pent-Up House,Sonny Rollins,2723facd-9233-4286-809b-62df780ca474,../../partitions/jaah/raw/pentup_house.json,../../partitions/jaah/choco/jams/jaah_23.jams
jaah_24,sweethearts_on_parade,Sweethearts on Parade,Louis Armstrong & His Orchestra,79e051ea-feea-492f-954f-dd7f4bb1c832,../../partitions/jaah/raw/sweethearts_on_parade.json,../../partitions/jaah/choco/jams/jaah_24.jams
jaah_25,blue_serge,Blue Serge,Duke Ellington & His Orchestra,ab0af81c-1658-4212-8da3-3135c7a06396,../../partitions/jaah/raw/blue_serge.json,
jaah_26,lady_bird,Lady Bird,Tadd Dameron Sextet,ce2d8d18-590f-468c-a020-b334ae916caa,../../partitions/jaah/raw/lady_bird.json,../../partitions/jaah/choco/jams/jaah_26.jams
jaah_27,django,Django,The Modern Jazz Quartet,c3141ac9-74aa-439e-b9bc-16aae9c4d683,../../partitions/jaah/raw/django.json,
jaah_28,dinah_fats_waller,Dinah,Fats Waller and His Rhythm,d9747359-db30-43f9-82cd-0d9566114658,../../partitions/jaah/raw/dinah_fats_waller.json,../../partitions/jaah/choco/jams/jaah_28.jams
jaah_29,dippermouth_blues,Dippermouth Blues,King Oliver's Creole Jazz Band,8fecd84b-8d9e-43c7-865e-4e3e93292260,../../partitions/jaah/raw/dippermouth_blues.json,../../partitions/jaah/choco/jams/jaah_29.jams
jaah_30,summertime,Summertime,Miles Davis; Gil Evans,9708585c-b508-4357-b3f4-4a5c0b0af44f,../../partitions/jaah/raw/summertime.json,
jaah_31,blue_7,Blue 7,Sonny Rollins,27c5ca66-7079-49b6-a7f1-961cecbea199,../../partitions/jaah/raw/blue_7.json,../../partitions/jaah/choco/jams/jaah_31.jams
jaah_32,wrappin_it_up,Wrappin' It Up,Fletcher Henderson and His Orchestra,6af10606-1aef-42d6-8f26-9ff66395eae1,../../partitions/jaah/raw/wrappin_it_up.json,../../partitions/jaah/choco/jams/jaah_32.jams
jaah_33,you_d_be_so_nice_to_come_home_to,You'd Be So Nice to Come Home To,Ella Fitzgerald,de6cd145-7a74-4e4b-86ac-4094433b849f,../../partitions/jaah/raw/you_d_be_so_nice_to_come_home_to.json,../../partitions/jaah/choco/jams/jaah_33.jams
jaah_34,cotton_tail_fitzgerald,Cotton Tail,Ella Fitzgerald; Duke Ellington Orchestra,96cd1df4-1a44-4996-98a5-8449796b2598,../../partitions/jaah/raw/cotton_tail_fitzgerald.json,../../partitions/jaah/choco/jams/jaah_34.jams
jaah_35,shaw_nuff,Shaw 'Nuff,Dizzy Gillespie & His All Stars,cabedd06-3ea9-462f-9af5-b546e083a361,../../partitions/jaah/raw/shaw_nuff.json,
jaah_36,giant_steps,Giant Steps,John Coltrane,cc14d998-bf97-4c94-a835-d4ed9717bc7a,../../partitions/jaah/raw/giant_steps.json,../../partitions/jaah/choco/jams/jaah_36.jams
jaah_37,when_lights_are_low,When Lights Are Low,Lionel Hampton and His Orchestra,be26b916-d04f-44fd-8ec3-47586711b4dd,../../partitions/jaah/raw/when_lights_are_low.json,../../partitions/jaah/choco/jams/jaah_37.jams
jaah_38,mean_to_me,Mean to Me,Billie Holiday; Teddy Wilson and His Orchestra,0e9806c6-1342-432b-87b7-11e5e2217311,../../partitions/jaah/raw/mean_to_me.json,../../partitions/jaah/choco/jams/jaah_38.jams
