id,biab_id,score_title,score_authors,file_path,jams_path
biab-internet-corpus_0.jams,It's The Little Things_id_10567_allanah.MG1,It's The Little Things - Jack Miller,,../../partitions/biab-internet-corpus/raw/It's The Little Things_id_10567_allanah.MG1,../../partitions/biab-internet-corpus/choco/jams/biab-internet-corpus_0.jams
biab-internet-corpus_1.jams,How Can You Buy Killarney_id_09918_allanah.MGU,How Can You Buy Killarney?,,../../partitions/biab-internet-corpus/raw/How Can You Buy Killarney_id_09918_allanah.MGU,../../partitions/biab-internet-corpus/choco/jams/biab-internet-corpus_1.jams
biab-internet-corpus_2.jams,Everybody Loves My Baby_id_09094_allanah.MGU,EVERYBODY LOVES MY BABY,,../../partitions/biab-internet-corpus/raw/Everybody Loves My Baby_id_09094_allanah.MGU,../../partitions/biab-internet-corpus/choco/jams/biab-internet-corpus_2.jams
biab-internet-corpus_3.jams,Why Did I Have To Find Romance_id_02954_community.Mgu,Why Did I Have To Find Romance,,../../partitions/biab-internet-corpus/raw/Why Did I Have To Find Romance_id_02954_community.Mgu,../../partitions/biab-internet-corpus/choco/jams/biab-internet-corpus_3.jams
biab-internet-corpus_4.jams,Chiudi Gli Occhi Amore Mio_id_10010_wdick.MG9,Chiudi Gli Occhi Amore Mio,,../../partitions/biab-internet-corpus/raw/Chiudi Gli Occhi Amore Mio_id_10010_wdick.MG9,../../partitions/biab-internet-corpus/choco/jams/biab-internet-corpus_4.jams
biab-internet-corpus_5.jams,Graduation Day_id_01033_community.Mgu,Graduation Day - Joe Sherman,,../../partitions/biab-internet-corpus/raw/Graduation Day_id_01033_community.Mgu,../../partitions/biab-internet-corpus/choco/jams/biab-internet-corpus_5.jams
biab-internet-corpus_6.jams,Flowers Of Normandy_id_09295_allanah.MGU,Flowers of Normandy,,../../partitions/biab-internet-corpus/raw/Flowers Of Normandy_id_09295_allanah.MGU,../../partitions/biab-internet-corpus/choco/jams/biab-internet-corpus_6.jams
biab-internet-corpus_7.jams,Trav'lin' Light_id_02786_community.Mgu,Trav'lin' Light,,../../partitions/biab-internet-corpus/raw/Trav'lin' Light_id_02786_community.Mgu,../../partitions/biab-internet-corpus/choco/jams/biab-internet-corpus_7.jams
biab-internet-corpus_8.jams,Rosetta_id_05243_wdick.MG1,Rosetta            ,,../../partitions/biab-internet-corpus/raw/Rosetta_id_05243_wdick.MG1,../../partitions/biab-internet-corpus/choco/jams/biab-internet-corpus_8.jams
biab-internet-corpus_9.jams,Yoursism_id_03077_community.Mgu,Yoursism,,../../partitions/biab-internet-corpus/raw/Yoursism_id_03077_community.Mgu,../../partitions/biab-internet-corpus/choco/jams/biab-internet-corpus_9.jams
biab-internet-corpus_10.jams,Afternoon In Paris_id_06936_allanah.MGU,Afternoon In Paris,,../../partitions/biab-internet-corpus/raw/Afternoon In Paris_id_06936_allanah.MGU,../../partitions/biab-internet-corpus/choco/jams/biab-internet-corpus_10.jams
biab-internet-corpus_11.jams,Rosalie_id_02174_community.Mgu,Rosalie,,../../partitions/biab-internet-corpus/raw/Rosalie_id_02174_community.Mgu,../../partitions/biab-internet-corpus/choco/jams/biab-internet-corpus_11.jams
biab-internet-corpus_12.jams,Easy To Love_id_09019_allanah.MGU,EASY TO LOVE,,../../partitions/biab-internet-corpus/raw/Easy To Love_id_09019_allanah.MGU,../../partitions/biab-internet-corpus/choco/jams/biab-internet-corpus_12.jams
biab-internet-corpus_13.jams,Get Happy_id_09514_allanah.MGU,GET HAPPY,,../../partitions/biab-internet-corpus/raw/Get Happy_id_09514_allanah.MGU,../../partitions/biab-internet-corpus/choco/jams/biab-internet-corpus_13.jams
biab-internet-corpus_14.jams,Caledonian Wedding Anniversary_id_03585_wdick.MGU,Caledonian Wedding Anniversary,,../../partitions/biab-internet-corpus/raw/Caledonian Wedding Anniversary_id_03585_wdick.MGU,../../partitions/biab-internet-corpus/choco/jams/biab-internet-corpus_14.jams
biab-internet-corpus_15.jams,Star Dust_id_13060_allanah.MGU,Star Dust,,../../partitions/biab-internet-corpus/raw/Star Dust_id_13060_allanah.MGU,../../partitions/biab-internet-corpus/choco/jams/biab-internet-corpus_15.jams
biab-internet-corpus_16.jams,Don't Cry For Me Argentina_id_07271_allanah.MGU,ARGENTINA (DON'T CRY FOR ME)                      ,,../../partitions/biab-internet-corpus/raw/Don't Cry For Me Argentina_id_07271_allanah.MGU,../../partitions/biab-internet-corpus/choco/jams/biab-internet-corpus_16.jams
biab-internet-corpus_17.jams,Doodlin'_id_00747_community.Mgu,Doodlin' - Horace Silver,,../../partitions/biab-internet-corpus/raw/Doodlin'_id_00747_community.Mgu,../../partitions/biab-internet-corpus/choco/jams/biab-internet-corpus_17.jams
biab-internet-corpus_18.jams,Rocker_id_02165_community.Mgu,Rocker - Gerry Mulligan,,../../partitions/biab-internet-corpus/raw/Rocker_id_02165_community.Mgu,../../partitions/biab-internet-corpus/choco/jams/biab-internet-corpus_18.jams
biab-internet-corpus_19.jams,"Day In, Day Out_id_00658_community.Mgu",Day In Day Out,,"../../partitions/biab-internet-corpus/raw/Day In, Day Out_id_00658_community.Mgu",../../partitions/biab-internet-corpus/choco/jams/biab-internet-corpus_19.jams
biab-internet-corpus_20.jams,Jamaica Fairwell_id_04611_wdick.MGU,Jamaica Fairwell - (Careful with Voice Reserve),,../../partitions/biab-internet-corpus/raw/Jamaica Fairwell_id_04611_wdick.MGU,../../partitions/biab-internet-corpus/choco/jams/biab-internet-corpus_20.jams
biab-internet-corpus_21.jams,You Came A Long Way From St. Louis_id_03021_community.Mgu,You Came A Long Way From St. Louis - John Benson Brooks,,../../partitions/biab-internet-corpus/raw/You Came A Long Way From St. Louis_id_03021_community.Mgu,../../partitions/biab-internet-corpus/choco/jams/biab-internet-corpus_21.jams
biab-internet-corpus_22.jams,Try Again_id_13734_allanah.MGU,TRY AGAIN    [omit pno]         ,,../../partitions/biab-internet-corpus/raw/Try Again_id_13734_allanah.MGU,../../partitions/biab-internet-corpus/choco/jams/biab-internet-corpus_22.jams
biab-internet-corpus_23.jams,My Baby By Cold Chisel_id_07409_allanah.MGD,My Baby By Cold Chisel,,../../partitions/biab-internet-corpus/raw/My Baby By Cold Chisel_id_07409_allanah.MGD,../../partitions/biab-internet-corpus/choco/jams/biab-internet-corpus_23.jams
biab-internet-corpus_24.jams,Love Me Tender_id_04792_wdick.MG9,Love Me Tender,,../../partitions/biab-internet-corpus/raw/Love Me Tender_id_04792_wdick.MG9,../../partitions/biab-internet-corpus/choco/jams/biab-internet-corpus_24.jams
biab-internet-corpus_25.jams,Doggie In The Window_id_00711_community.MGU,Doggie In The Window,,../../partitions/biab-internet-corpus/raw/Doggie In The Window_id_00711_community.MGU,../../partitions/biab-internet-corpus/choco/jams/biab-internet-corpus_25.jams
biab-internet-corpus_26.jams,Snoopy_id_02298_community.Mgu,Snoopy,,../../partitions/biab-internet-corpus/raw/Snoopy_id_02298_community.Mgu,../../partitions/biab-internet-corpus/choco/jams/biab-internet-corpus_26.jams
biab-internet-corpus_27.jams,"Nearness Of You, The_id_11734_allanah.MGU",Nearness Of You(the)                          ,,"../../partitions/biab-internet-corpus/raw/Nearness Of You, The_id_11734_allanah.MGU",../../partitions/biab-internet-corpus/choco/jams/biab-internet-corpus_27.jams
biab-internet-corpus_28.jams,Inside Job_id_10600_allanah.MGU,Inside Job - JazGuint.sty demo - - ,,../../partitions/biab-internet-corpus/raw/Inside Job_id_10600_allanah.MGU,../../partitions/biab-internet-corpus/choco/jams/biab-internet-corpus_28.jams
biab-internet-corpus_29.jams,"Nightingale, The_id_02662_community.Mgu",The Nightingale,,"../../partitions/biab-internet-corpus/raw/Nightingale, The_id_02662_community.Mgu",../../partitions/biab-internet-corpus/choco/jams/biab-internet-corpus_29.jams
biab-internet-corpus_30.jams,Embedded Dreams_id_12341_allanah.MGU,Embedded Dreams - R_HevRok.sty demo - -,,../../partitions/biab-internet-corpus/raw/Embedded Dreams_id_12341_allanah.MGU,../../partitions/biab-internet-corpus/choco/jams/biab-internet-corpus_30.jams
biab-internet-corpus_31.jams,Noname Untitled Song_id_11820_allanah.MGU,Untitled Song,,../../partitions/biab-internet-corpus/raw/Noname Untitled Song_id_11820_allanah.MGU,../../partitions/biab-internet-corpus/choco/jams/biab-internet-corpus_31.jams
biab-internet-corpus_32.jams,Dolphin Dance_id_00716_community.Mgu,Dolphin Dance - Herbie Hancock,,../../partitions/biab-internet-corpus/raw/Dolphin Dance_id_00716_community.Mgu,../../partitions/biab-internet-corpus/choco/jams/biab-internet-corpus_32.jams
biab-internet-corpus_33.jams,I Concentrate On You_id_10044_allanah.MGU,I CONCENTRATE ON YOU                              ,,../../partitions/biab-internet-corpus/raw/I Concentrate On You_id_10044_allanah.MGU,../../partitions/biab-internet-corpus/choco/jams/biab-internet-corpus_33.jams
biab-internet-corpus_34.jams,Wang Wang Blues_id_02851_community.Mgu,Wang Wang Blues,,../../partitions/biab-internet-corpus/raw/Wang Wang Blues_id_02851_community.Mgu,../../partitions/biab-internet-corpus/choco/jams/biab-internet-corpus_34.jams
biab-internet-corpus_35.jams,Reel Des Temps Dull_id_12413_allanah.MGU,Reel des temps Dull,,../../partitions/biab-internet-corpus/raw/Reel Des Temps Dull_id_12413_allanah.MGU,../../partitions/biab-internet-corpus/choco/jams/biab-internet-corpus_35.jams
biab-internet-corpus_36.jams,Django's Castle_id_00699_community.Mgu,Django's Castle - Django Reinhardt,,../../partitions/biab-internet-corpus/raw/Django's Castle_id_00699_community.Mgu,../../partitions/biab-internet-corpus/choco/jams/biab-internet-corpus_36.jams
biab-internet-corpus_37.jams,I'll String Along With You_id_10291_allanah.MGU,I'LL STRING ALONG WITH YOU                        ,,../../partitions/biab-internet-corpus/raw/I'll String Along With You_id_10291_allanah.MGU,../../partitions/biab-internet-corpus/choco/jams/biab-internet-corpus_37.jams
biab-internet-corpus_38.jams,Bill Bailey_id_07666_allanah.MGU,"Bill Baily, Won't You Please Come Home             ",,../../partitions/biab-internet-corpus/raw/Bill Bailey_id_07666_allanah.MGU,../../partitions/biab-internet-corpus/choco/jams/biab-internet-corpus_38.jams
biab-internet-corpus_39.jams,You're Nobody 'til Somebody Loves You_id_05837_wdick.MGU,You're Nobody 'til Somebody Loves You,,../../partitions/biab-internet-corpus/raw/You're Nobody 'til Somebody Loves You_id_05837_wdick.MGU,../../partitions/biab-internet-corpus/choco/jams/biab-internet-corpus_39.jams
biab-internet-corpus_40.jams,"Baby, I'm A Want You_id_07468_allanah.MGU",Baby I'm A Want You,,"../../partitions/biab-internet-corpus/raw/Baby, I'm A Want You_id_07468_allanah.MGU",../../partitions/biab-internet-corpus/choco/jams/biab-internet-corpus_40.jams
