jams_file,track_name,artist_name,album_name,track_number,duration,release_year,musicbrainz,isrc,deezer_id,deezer_url,youtube_url,acousticbrainz,spotify_id
casd_33.jams,Good Vibrations,Marky Mark,Good Vibrations,2,271.80002,02/08/2019,7bd9442a-0406-4f82-9541-2add7748e856,USIR10211585,720608682.0,https://www.deezer.com/track/720608682,https://music.youtube.com/watch?v=4C2lhVUb95U,,
casd_9.jams,Dial My Heart,The Boys,Messages From The Boys,1,268.0,03/11/2017,4f0a3b92-07c9-4a5e-8ae3-1c3ae3858707,USMO18882739,422203492.0,https://www.deezer.com/track/422203492,https://music.youtube.com/watch?v=M_4ohk49sSU,,
casd_13.jams,Twilight Zone,Golden Earring,Twilight Zone,1,283.0,10/07/1982,84868ec4-76ba-44d3-9e59-7ef736d1830b,NLC288200189,602974692.0,https://www.deezer.com/track/602974692,https://music.youtube.com/watch?v=Mwdh2NrMJ2g,,
casd_5.jams,Someone,The Rembrandts,The Rembrandts,3,229.6,14/08/1990,6760d289-c249-4958-8cb9-80184d8c67a1,USEW29000014,5617064.0,https://www.deezer.com/track/5617064,https://music.youtube.com/watch?v=C7Rce09dIvo,,
casd_10.jams,Dance Hall Days,Wang Chung,Best Of,1,238.0,12/10/2015,,QM6XS1575958,110858204.0,https://www.deezer.com/track/110858204,https://music.youtube.com/watch?v=6INiwFDtTG4,,
casd_19.jams,All Those Years Ago,George Harrison,Let It Roll - Songs of George Harrison,9,220.2,01/01/2009,60666151-aefc-4814-a6d6-8a636a075881,GBEXP0900004,2141104137.0,https://www.deezer.com/track/2141104137,https://music.youtube.com/watch?v=Cgz6U1pa9Vk,,
casd_37.jams,Caught Up In The Rapture,Anita Baker,Sing It Forever (Live 1988),8,317.0,17/12/2019,39c3faf3-7fcb-4ebf-8dcf-829402e46311,GBSMU7334342,841488242.0,https://www.deezer.com/track/841488242,https://music.youtube.com/watch?v=Oz-b86LZ21c,,
casd_17.jams,Crackerbox Palace,George Harrison,Thirty Three & 1/3,9,239.8,19/11/1976,8e5313b8-a913-4d91-8d28-38db8892f37b,GBEXP0300009,2143195267.0,https://www.deezer.com/track/2143195267,https://music.youtube.com/watch?v=7Fwv45v78xY,,
casd_47.jams,Little Sister,Elvis Presley,Elvis' Golden Records Vol. 3 1963,9,154.0,01/07/2015,ccd98b3a-6c64-4ecd-90e8-2e59ed612d7d,BEDO61503145,105123640.0,https://www.deezer.com/track/105123640,https://music.youtube.com/watch?v=0kWK4NPib1A,,
casd_42.jams,Baby I'm Burnin',Dolly Parton,The Very Best Of Dolly Parton,8,161.0,07/03/2007,9366cf0c-19e9-4b9b-acfb-bb8a7c0c2a4f,USRN17800016,989314.0,https://www.deezer.com/track/989314,https://music.youtube.com/watch?v=pl0q1x7nRf8,,
