id,billboard_id,track_title,track_artist,youtube_url,file_path,jams_path
casd_0,1114,Wichita Lineman,Glen Campbell,https://www.youtube.com/watch?v=RKeqXyY-9xA,../../partitions/chordify/raw/1114.jams,../../partitions/chordify/choco/jams/casd_0.jams
casd_1,43,Two Hearts,Phil Collins,https://www.youtube.com/watch?v=97_XpAE1YmQ,../../partitions/chordify/raw/43.jams,../../partitions/chordify/choco/jams/casd_1.jams
casd_2,377,I Can't Stand The Rain,Ann Peebles,https://www.youtube.com/watch?v=uUoZ3qnNuRo,../../partitions/chordify/raw/377.jams,../../partitions/chordify/choco/jams/casd_2.jams
casd_3,770,Hair,The Cowsills,https://www.youtube.com/watch?v=x3qhle8Oy9s,../../partitions/chordify/raw/770.jams,../../partitions/chordify/choco/jams/casd_3.jams
casd_4,382,Where The Streets Have No Name,Pet Shop Boys,https://www.youtube.com/watch?v=Jt2j79pca7c,../../partitions/chordify/raw/382.jams,../../partitions/chordify/choco/jams/casd_4.jams
casd_5,414,Someone,The Rembrandts,https://www.youtube.com/watch?v=OR0GZvDSCwY,../../partitions/chordify/raw/414.jams,../../partitions/chordify/choco/jams/casd_5.jams
casd_6,74,Nowhere To Run,Martha & The Vandellas,https://www.youtube.com/watch?v=ABbc-O_3_Ac,../../partitions/chordify/raw/74.jams,../../partitions/chordify/choco/jams/casd_6.jams
casd_7,481,"Baby, Baby Don't Cry",The Miracles,https://www.youtube.com/watch?v=i09T799aNS8,../../partitions/chordify/raw/481.jams,../../partitions/chordify/choco/jams/casd_7.jams
casd_8,209,Already Gone,Eagles,https://www.youtube.com/watch?v=JoGweOFqapU,../../partitions/chordify/raw/209.jams,../../partitions/chordify/choco/jams/casd_8.jams
casd_9,78,Dial My Heart,The Boys,https://www.youtube.com/watch?v=5ZOTtZPr5Ew,../../partitions/chordify/raw/78.jams,../../partitions/chordify/choco/jams/casd_9.jams
casd_10,886,Dance Hall Days,Wang Chung,https://www.youtube.com/watch?v=V-xpJRwIA-Q,../../partitions/chordify/raw/886.jams,../../partitions/chordify/choco/jams/casd_10.jams
casd_11,812,Super Freak (Part I),Rick James,https://www.youtube.com/watch?v=QGe1z8G-rRk,../../partitions/chordify/raw/812.jams,../../partitions/chordify/choco/jams/casd_11.jams
