root,type,additions,bass,duration,lexical schema,coord middle,coord end
0,m,,,4,T,False,False
5,m7,,,4,TC_IVb,False,False
7,7,b9,,4,D,False,False
0,m,,,4,T,False,False
0,7,b9,,4,D,False,False
5,m7,,,4,D,False,False
10,7,b9,,4,D,False,False
3,M7,,,4,T,False,False
8,M7,,,4,TC_IVb,False,False
2,%7,,,4,D_Rep,False,False
2,7,,,4,D,False,False
7,,,11,2,D_Rep,False,False
7,7,b9,,2,D,False,False
0,M7,9,,4,T_Rep,False,False
0,m7,,5,4,T,False,False
7,aug7,,,3,D_Rep,False,False
7,7,,,1,D_Rep,False,False
5,o7,,,2,Dim_V,False,False
0,m,,,2,T_Rep,False,False
0,"m,M7",,,4,T_Rep,False,False
0,m7,,5,4,T,False,False
7,aug7,,,3,D_Rep,False,False
7,7,,,1,D_Rep,False,False
5,o7,,,2,Dim_V,False,False
0,m,,,2,T_Rep,False,False
0,m,,,2,T,False,False
9,%7,,,2,D_Tt,False,False
2,7,,,2,D_Tt,False,False
7,7,,,2,D_Tt,False,False
0,7,b9,,2,D_Tt,False,False
5,m7,,,2,D_Tt,False,False
10,7,,,2,D_Tt,False,False
3,7,,,2,D_Tt,False,False
8,7,,,2,D_Tt_Rep,False,False
2,7,,,2,D,False,False
7,7,,,4,D,False,False
0,m,,,2,T,False,False
9,%7,,,2,D_Tt,False,False
2,7,,,2,D_Tt,False,False
7,7,,,2,D_Tt,False,False
0,7,b9,,2,D_Tt,False,False
5,m7,,,2,D_Tt,False,False
10,7,,,2,D_Tt,False,False
3,7,,,2,D_Tt,False,False
8,7,,,2,D_Tt,False,False
7,7,,,2,D,False,False
0,m,6,,4,T_Rep,False,False
0,7,b9,,4,T_Rep,False,False
5,m,6,,4,TC_IV,False,False
0,7,b9,,4,T_Rep,False,False
5,m,6,,4,TC_IV,False,False
0,7,b9,,4,T_Rep,False,False
5,m,6,,4,TC_IV,False,False
0,7,b9,,2,T,False,False
5,o7,,,2,Dim_V,False,False
0,7,b9,,4,T,False,False
5,m,,,2,D_Btk_Rep,False,False
2,%7,,,2,D_Tt,False,False
7,7,,,2,D_Tt,False,False
0,7,,,2,D_Tt,False,False
5,7,,,2,D_Tt,False,False
10,m7,,,2,D_Tt,False,False
3,7,,,2,D_Tt,False,False
8,7,,,2,D_Tt,False,False
1,7,,,8,D_Tt,True,False
8,7,,,8,D_Tt,False,False
1,7,,,8,D_Tt,True,True
8,7,,,4,D_Tt,False,False
7,7,,,4,D,False,True
0,m,,,2,T,False,False
0,M7,,,4,T,False,False
0,m7,,,2,D,False,False
5,7,,,2,D,False,False
10,M7,,,4,T,False,False
10,m7,,,2,D,False,False
3,7,,,2,D,False,False
8,M7,,,4,T,False,False
2,m7,,,2,D,False,False
7,7,b9,,2,D,False,False
0,M7,,,2,T,False,False
9,m7,,,2,D,False,False
2,m7,,,2,D,False,False
7,7,,,2,D,False,False
0,M7,,,4,T,False,False
0,m7,,,2,D,False,False
5,7,,,2,D,False,False
10,M7,,,4,T,False,False
