start;end;shorthand;extended;majmin;majmin_inv
0.26;5.94;"A:min";"A:(b3,5)";"A:min";"A:min"
5.94;8.98;"B:hdim7/A";"B:(b3,b5,b7)/A";"B:min";"B:min/A"
8.98;11.92;"A:min";"A:(b3,5)";"A:min";"A:min"
11.92;15;"B:hdim7/A";"B:(b3,b5,b7)/A";"B:min";"B:min/A"
15;25.28;"A:min";"A:(b3,5)";"A:min";"A:min"
25.28;27.26;"B:hdim7/A";"B:(b3,b5,b7)/A";"B:min";"B:min/A"
27.26;38.52;"A:min";"A:(b3,5)";"A:min";"A:min"
38.52;40.12;"B:hdim7/A";"B:(b3,b5,b7)/A";"B:min";"B:min/A"
40.12;43.42;"A:min";"A:(b3,5)";"A:min";"A:min"
43.42;46.38;"E:7/G#";"E:(3,5,b7)/G#";"E:maj";"E:maj/G#"
46.38;47.88;"A:min";"A:(b3,5)";"A:min";"A:min"
47.88;48.38;"B:(3,5,b7,b9)";"B:(3,5,b7,b9)";"B:maj";"B:maj"
48.38;49.38;"A:min/C";"A:(b3,5)/C";"A:min";"A:min/C"
49.38;52.86;"B:(3,b5,b7)";"B:(3,b5,b7)";"B:maj";"B:maj"
52.86;56.34;"E:(3,5,b9)";"E:(3,5,b9)";"E:maj";"E:maj"
56.34;59.02;"E:7/G#";"E:(3,5,b7)/G#";"E:maj";"E:maj/G#"
59.02;60.52;"A:min";"A:(b3,5)";"A:min";"A:min"
60.52;61.56;"B:(3,5,b7,b9)";"B:(3,5,b7,b9)";"B:maj";"B:maj"
61.56;62.16;"A:min/C";"A:(b3,5)/C";"A:min";"A:min/C"
62.16;65.44;"B:(b5,b7)";"B:(b5,b7)";"B:maj";"B:maj"
65.44;71.08;"E:(3,5,b7,b9)";"E:(3,5,b7,b9)";"E:maj";"E:maj"
71.08;74.44;"F#:dim7";"F#:(b3,b5,bb7)";"F#:min";"F#:min"
74.44;78;"G:maj";"G:(3,5)";"G:maj";"G:maj"
78;81.32;"F#:dim7";"F#:(b3,b5,bb7)";"F#:min";"F#:min"
81.32;84.92;"G:maj";"G:(3,5)";"G:maj";"G:maj"
84.92;85.76;"G:maj";"G:(3,5)";"G:maj";"G:maj"
85.76;86.38;"D:7/F#";"D:(3,5,b7)/F#";"D:maj";"D:maj/F#"
86.38;87.06;"G:7/F";"G:(3,5,b7)/F";"G:maj";"G:maj/F"
87.06;87.72;"E:7";"E:(3,5,b7)";"E:maj";"E:maj"
87.72;88.96;"F:maj";"F:(3,5)";"F:maj";"F:maj"
88.96;89.46;"A#:min/F";"A#:(b3,5)/F";"A#:min";"A#:min/F"
89.46;90.14;"E:dim7";"E:(b3,b5,bb7)";"E:min";"E:min"
90.14;93.44;"F:7";"F:(3,5,b7)";"F:maj";"F:maj"
93.44;95.58;"A#:maj/F";"A#:(3,5)/F";"A#:maj";"A#:maj/F"
95.58;96.34;"F:7";"F:(3,5,b7)";"F:maj";"F:maj"
96.34;98.78;"A#:maj/F";"A#:(3,5)/F";"A#:maj";"A#:maj/F"
98.78;99.66;"B:(b5,b7)/F";"B:(b5,b7)/F";"B:maj";"B:maj/F"
99.66;102.26;"A:min/E";"A:(b3,5)/E";"A:min";"A:min/E"
102.26;103.26;"E:7";"E:(3,5,b7)";"E:maj";"E:maj"
103.26;105.44;"A:min";"A:(b3,5)";"A:min";"A:min"
105.44;106.06;"B:7/D#";"B:(3,5,b7)/D#";"B:maj";"B:maj/D#"
106.06;107.28;"E:maj";"E:(3,5)";"E:maj";"E:maj"
107.28;108.72;"A:min";"A:(b3,5)";"A:min";"A:min"
108.72;112.08;"E:dim7";"E:(b3,b5,bb7)";"E:min";"E:min"
112.08;115.1;"F:maj";"F:(3,5)";"F:maj";"F:maj"
115.1;119.2;"F#:dim7";"F#:(b3,b5,bb7)";"F#:min";"F#:min"
119.2;123.4;"G:maj";"G:(3,5)";"G:maj";"G:maj"
123.4;124.06;"D:7/F#";"D:(3,5,b7)/F#";"D:maj";"D:maj/F#"
124.06;124.74;"G:7/F";"G:(3,5,b7)/F";"G:maj";"G:maj/F"
124.74;125.46;"E:7";"E:(3,5,b7)";"E:maj";"E:maj"
125.46;126.72;"F:maj";"F:(3,5)";"F:maj";"F:maj"
126.72;127.3;"A#:min/F";"A#:(b3,5)/F";"A#:min";"A#:min/F"
127.3;127.86;"E:dim7";"E:(b3,b5,bb7)";"E:min";"E:min"
127.86;131.34;"F:7";"F:(3,5,b7)";"F:maj";"F:maj"
131.34;133.66;"A#:maj/F";"A#:(3,5)/F";"A#:maj";"A#:maj/F"
133.66;134.46;"F:7";"F:(3,5,b7)";"F:maj";"F:maj"
134.46;136.92;"A#:maj/F";"A#:(3,5)/F";"A#:maj";"A#:maj/F"
136.92;137.88;"B:(b5,b7)/F";"B:(b5,b7)/F";"B:maj";"B:maj/F"
137.88;140.24;"A:min/E";"A:(b3,5)/E";"A:min";"A:min/E"
140.24;141.7;"E:7";"E:(3,5,b7)";"E:maj";"E:maj"
141.7;153.94;"A:min";"A:(b3,5)";"A:min";"A:min"
