start;end;shorthand;extended;majmin;majmin_inv
1.44;7.72;"F:min";"F:(b3,5)";"F:min";"F:min"
7.72;9.06;"E:dim7/C#";"E:(b3,b5,bb7)/C#";"E:min";"E:min/C#"
9.06;10.46;"G:(3,b5,b7)/C#";"G:(3,b5,b7)/C#";"G:maj";"G:maj/C#"
10.46;13.34;"C";"C:(3,5)";"C:maj";"C:maj"
13.34;16.38;"F:min";"F:(b3,5)";"F:min";"F:min"
16.38;19.08;"F:min";"F:(b3,5)";"F:min";"F:min"
19.08;23.08;"C#";"C#:(3,5)";"C#:maj";"C#:maj"
23.08;24.42;"G:hdim7/A#";"G:(b3,b5,b7)/A#";"G:min";"G:min/A#"
24.42;27.12;"C:7";"C:(3,5,b7)";"C:maj";"C:maj"
27.12;29.9;"F:min";"F:(b3,5)";"F:min";"F:min"
29.9;32.62;"A#:min/C#";"A#:(b3,5)/C#";"A#:min";"A#:min/C#"
32.62;35.16;"C:7";"C:(3,5,b7)";"C:maj";"C:maj"
35.16;37.92;"G#:min/B";"G#:(b3,5)/B";"G#:min";"G#:min/B"
37.92;40.44;"A#:7";"A#:(3,5,b7)";"A#:maj";"A#:maj"
40.44;41.86;"D#:min";"D#:(b3,5)";"D#:min";"D#:min"
41.86;43.14;"A#:7";"A#:(3,5,b7)";"A#:maj";"A#:maj"
43.14;44.44;"D#:min";"D#:(b3,5)";"D#:min";"D#:min"
44.44;45.06;"A#";"A#:(3,5)";"A#:maj";"A#:maj"
45.06;45.72;"A#:min";"A#:(b3,5)";"A#:min";"A#:min"
45.72;47.06;"F:min/C";"F:(b3,5)/C";"F:min";"F:min/C"
47.06;48.42;"C";"C:(3,5)";"C:maj";"C:maj"
48.42;49.9;"F:min/C";"F:(b3,5)/C";"F:min";"F:min/C"
49.9;51.56;"C";"C:(3,5)";"C:maj";"C:maj"
51.56;52.88;"F:min";"F:(b3,5)";"F:min";"F:min"
52.88;54.38;"C";"C:(3,5)";"C:maj";"C:maj"
54.38;59.98;"F:min";"F:(b3,5)";"F:min";"F:min"
59.98;66.8;"F";"F:(3,5)";"F:maj";"F:maj"
66.8;67.46;"C:7/E";"C:(3,5,b7)/E";"C:maj";"C:maj/E"
67.46;68.08;"F";"F:(3,5)";"F:maj";"F:maj"
68.08;68.76;"C";"C:(3,5)";"C:maj";"C:maj"
68.76;69.42;"G:7/D";"G:(3,5,b7)/D";"G:maj";"G:maj/D"
69.42;70.76;"C:7";"C:(3,5,b7)";"C:maj";"C:maj"
70.76;73.38;"F/C";"F:(3,5)/C";"F:maj";"F:maj/C"
73.38;74.72;"F";"F:(3,5)";"F:maj";"F:maj"
74.72;76.34;"A:7";"A:(3,5,b7)";"A:maj";"A:maj"
76.34;78.96;"A#";"A#:(3,5)";"A#:maj";"A#:maj"
78.96;81.64;"A:(3,5,b9)";"A:(3,5,b9)";"A:min";"A:min"
81.64;84.08;"A#";"A#:(3,5)";"A#:maj";"A#:maj"
84.08;89.06;"A:(3,5,b9)";"A:(3,5,b9)";"A:min";"A:min"
89.06;89.78;"E";"E:(3,5)";"E:maj";"E:maj"
89.78;94.98;"A";"A:(3,5)";"A:maj";"A:maj"
