start;end;shorthand;extended;majmin;majmin_inv
0.76;8.44;"G:min(*3)";"G:(5)";"G:min";"G:min"
8.44;13.4;"G:min";"G:(b3,5)";"G:min";"G:min"
13.4;16.06;"D:maj/G";"D:(3,5)/G";"D:maj";"D:maj/G"
16.06;17.54;"G:min";"G:(b3,5)";"G:min";"G:min"
17.54;19.98;"D:maj/G";"D:(3,5)/G";"D:maj";"D:maj/G"
19.98;23.42;"G:min";"G:(b3,5)";"G:min";"G:min"
23.42;24.82;"D:7/G";"D:(3,5,b7)/G";"D:maj";"D:maj/G"
24.82;27.18;"G:min";"G:(b3,5)";"G:min";"G:min"
27.18;28.64;"D:7/G";"D:(3,5,b7)/G";"D:maj";"D:maj/G"
28.64;44.3;"G:min";"G:(b3,5)";"G:min";"G:min"
44.3;46.4;"D:maj/G";"D:(3,5)/G";"D:maj";"D:maj/G"
46.4;59.74;"G:min";"G:(b3,5)";"G:min";"G:min"
59.74;62.26;"D:maj/G";"D:(3,5)/G";"D:maj";"D:maj/G"
62.26;63.6;"G:min";"G:(b3,5)";"G:min";"G:min"
63.6;65.9;"D:maj/G";"D:(3,5)/G";"D:maj";"D:maj/G"
65.9;67.1;"G:min";"G:(b3,5)";"G:min";"G:min"
67.1;70.12;"D:maj/G";"D:(3,5)/G";"D:maj";"D:maj/G"
70.12;73.66;"G:min";"G:(b3,5)";"G:min";"G:min"
73.66;75.08;"D:maj/G";"D:(3,5)/G";"D:maj";"D:maj/G"
75.08;80.06;"G:min";"G:(b3,5)";"G:min";"G:min"
80.06;81.4;"D:maj/G";"D:(3,5)/G";"D:maj";"D:maj/G"
81.4;82.72;"G:min";"G:(b3,5)";"G:min";"G:min"
82.72;85.48;"D:maj/G";"D:(3,5)/G";"D:maj";"D:maj/G"
85.48;89.5;"G:min";"G:(b3,5)";"G:min";"G:min"
89.5;90.98;"D:maj/G";"D:(3,5)/G";"D:maj";"D:maj/G"
90.98;110.74;"G:min";"G:(b3,5)";"G:min";"G:min"
110.74;112.26;"D:7/G";"D:(3,5,b7)/G";"D:maj";"D:maj/G"
112.26;115;"G:min";"G:(b3,5)";"G:min";"G:min"
115;116.58;"D:7/G";"D:(3,5,b7)/G";"D:maj";"D:maj/G"
116.58;132.72;"G:min";"G:(b3,5)";"G:min";"G:min"
132.72;135.62;"D:maj/G";"D:(3,5)/G";"D:maj";"D:maj/G"
135.62;148.66;"G:min";"G:(b3,5)";"G:min";"G:min"
148.66;151.32;"D:maj/G";"D:(3,5)/G";"D:maj";"D:maj/G"
151.32;154;"G:min";"G:(b3,5)";"G:min";"G:min"
154;155.52;"D:maj/G";"D:(3,5)/G";"D:maj";"D:maj/G"
155.52;156.5;"G:min";"G:(b3,5)";"G:min";"G:min"
156.5;159.64;"D:maj/G";"D:(3,5)/G";"D:maj";"D:maj/G"
159.64;163.34;"G:min";"G:(b3,5)";"G:min";"G:min"
163.34;164.9;"D:maj/G";"D:(3,5)/G";"D:maj";"D:maj/G"
164.9;170.12;"G:min";"G:(b3,5)";"G:min";"G:min"
170.12;171.74;"D:maj/G";"D:(3,5)/G";"D:maj";"D:maj/G"
171.74;172.9;"G:min";"G:(b3,5)";"G:min";"G:min"
172.9;175.84;"D:maj/G";"D:(3,5)/G";"D:maj";"D:maj/G"
175.84;179.5;"G:min";"G:(b3,5)";"G:min";"G:min"
179.5;181.06;"D:maj/G";"D:(3,5)/G";"D:maj";"D:maj/G"
181.06;200.38;"G:min";"G:(b3,5)";"G:min";"G:min"
200.38;202.02;"D:7/G";"D:(3,5,b7)/G";"D:maj";"D:maj/G"
202.02;205.2;"G:min";"G:(b3,5)";"G:min";"G:min"
205.2;206.82;"D:7/G";"D:(3,5,b7)/G";"D:maj";"D:maj/G"
206.82;209.78;"G:min";"G:(b3,5)";"G:min";"G:min"
209.78;211.26;"D:7/G";"D:(3,5,b7)/G";"D:maj";"D:maj/G"
211.26;213.6;"G:min";"G:(b3,5)";"G:min";"G:min"
213.6;216;"D:7/G";"D:(3,5,b7)/G";"D:maj";"D:maj/G"
216;223.32;"G:min";"G:(b3,5)";"G:min";"G:min"
223.32;226.04;"D:7/G";"D:(3,5,b7)/G";"D:maj";"D:maj/G"
226.04;227.6;"G:min";"G:(b3,5)";"G:min";"G:min"
227.6;230.34;"D:7/G";"D:(3,5,b7)/G";"D:maj";"D:maj/G"
230.34;241.28;"G:min";"G:(b3,5)";"G:min";"G:min"
241.28;245.92;"D:maj/G";"D:(3,5)/G";"D:maj";"D:maj/G"
245.92;251.12;"G:min";"G:(b3,5)";"G:min";"G:min"
