id,file_performer,file_title,file_track,file_release,file_release_year,file_path,jams_path
robbie-williams_0,Robbie Williams,Killing Me,09,Life Thru a Lens,1997,../../partitions/robbie-williams/raw/chordlabs/1997-Life Thru a Lens/09-Killing Me.lab,../../partitions/robbie-williams/choco/jams/robbie-williams_0.jams
robbie-williams_1,Robbie Williams,Clean,10,Life Thru a Lens,1997,../../partitions/robbie-williams/raw/chordlabs/1997-Life Thru a Lens/10-Clean.lab,../../partitions/robbie-williams/choco/jams/robbie-williams_1.jams
robbie-williams_2,Robbie Williams,Life Thru A Lens,02,Life Thru a Lens,1997,../../partitions/robbie-williams/raw/chordlabs/1997-Life Thru a Lens/02-Life Thru A Lens.lab,../../partitions/robbie-williams/choco/jams/robbie-williams_2.jams
robbie-williams_3,Robbie Williams,Ego A Go Go,03,Life Thru a Lens,1997,../../partitions/robbie-williams/raw/chordlabs/1997-Life Thru a Lens/03-Ego A Go Go.lab,../../partitions/robbie-williams/choco/jams/robbie-williams_3.jams
robbie-williams_4,Robbie Williams,Angels,04,Life Thru a Lens,1997,../../partitions/robbie-williams/raw/chordlabs/1997-Life Thru a Lens/04-Angels.lab,../../partitions/robbie-williams/choco/jams/robbie-williams_4.jams
robbie-williams_5,Robbie Williams,South Of The Border,05,Life Thru a Lens,1997,../../partitions/robbie-williams/raw/chordlabs/1997-Life Thru a Lens/05-South Of The Border.lab,../../partitions/robbie-williams/choco/jams/robbie-williams_5.jams
robbie-williams_6,Robbie Williams,Baby Girl Window,11,Life Thru a Lens,1997,../../partitions/robbie-williams/raw/chordlabs/1997-Life Thru a Lens/11-Baby Girl Window.lab,../../partitions/robbie-williams/choco/jams/robbie-williams_6.jams
robbie-williams_7,Robbie Williams,Lazy Days,01,Life Thru a Lens,1997,../../partitions/robbie-williams/raw/chordlabs/1997-Life Thru a Lens/01-Lazy Days.lab,../../partitions/robbie-williams/choco/jams/robbie-williams_7.jams
robbie-williams_8,Robbie Williams,Let Me Entertain You,08,Life Thru a Lens,1997,../../partitions/robbie-williams/raw/chordlabs/1997-Life Thru a Lens/08-Let Me Entertain You.lab,../../partitions/robbie-williams/choco/jams/robbie-williams_8.jams
robbie-williams_9,Robbie Williams,One Of God's Better People,07,Life Thru a Lens,1997,../../partitions/robbie-williams/raw/chordlabs/1997-Life Thru a Lens/07-One Of God's Better People.lab,../../partitions/robbie-williams/choco/jams/robbie-williams_9.jams
robbie-williams_10,Robbie Williams,Old Before I Die,06,Life Thru a Lens,1997,../../partitions/robbie-williams/raw/chordlabs/1997-Life Thru a Lens/06-Old Before I Die.lab,../../partitions/robbie-williams/choco/jams/robbie-williams_10.jams
robbie-williams_11,Robbie Williams,How Peculiar (Reprise),14b,Escapology,2002,../../partitions/robbie-williams/raw/chordlabs/2002-Escapology/14b-How Peculiar (Reprise).lab,../../partitions/robbie-williams/choco/jams/robbie-williams_11.jams
robbie-williams_12,Robbie Williams,Feel,02,Escapology,2002,../../partitions/robbie-williams/raw/chordlabs/2002-Escapology/02-Feel.lab,../../partitions/robbie-williams/choco/jams/robbie-williams_12.jams
robbie-williams_13,Robbie Williams,How Peculiar,01,Escapology,2002,../../partitions/robbie-williams/raw/chordlabs/2002-Escapology/01-How Peculiar.lab,../../partitions/robbie-williams/choco/jams/robbie-williams_13.jams
robbie-williams_14,Robbie Williams,Revolution,07,Escapology,2002,../../partitions/robbie-williams/raw/chordlabs/2002-Escapology/07-Revolution.lab,../../partitions/robbie-williams/choco/jams/robbie-williams_14.jams
robbie-williams_15,Robbie Williams,Cursed,13,Escapology,2002,../../partitions/robbie-williams/raw/chordlabs/2002-Escapology/13-Cursed.lab,../../partitions/robbie-williams/choco/jams/robbie-williams_15.jams
robbie-williams_16,Robbie Williams,Nan's Song,14a,Escapology,2002,../../partitions/robbie-williams/raw/chordlabs/2002-Escapology/14a-Nan's Song.lab,../../partitions/robbie-williams/choco/jams/robbie-williams_16.jams
robbie-williams_17,Robbie Williams,Something Beautiful,03,Escapology,2002,../../partitions/robbie-williams/raw/chordlabs/2002-Escapology/03-Something Beautiful.lab,../../partitions/robbie-williams/choco/jams/robbie-williams_17.jams
robbie-williams_18,Robbie Williams,Sexed Up,05,Escapology,2002,../../partitions/robbie-williams/raw/chordlabs/2002-Escapology/05-Sexed Up.lab,../../partitions/robbie-williams/choco/jams/robbie-williams_18.jams
robbie-williams_19,Robbie Williams,Handsome Man,08,Escapology,2002,../../partitions/robbie-williams/raw/chordlabs/2002-Escapology/08-Handsome Man.lab,../../partitions/robbie-williams/choco/jams/robbie-williams_19.jams
robbie-williams_20,Robbie Williams,Come Undone,09,Escapology,2002,../../partitions/robbie-williams/raw/chordlabs/2002-Escapology/09-Come Undone.lab,../../partitions/robbie-williams/choco/jams/robbie-williams_20.jams
robbie-williams_21,Robbie Williams,Me and My Monkey,10,Escapology,2002,../../partitions/robbie-williams/raw/chordlabs/2002-Escapology/10-Me and My Monkey.lab,../../partitions/robbie-williams/choco/jams/robbie-williams_21.jams
