id,subset,composers,title,file_path,jams_path
nottingham_0,playford,,The Alderman's Hat,../../partitions/nottingham/raw/playford.abc,../../partitions/nottingham/choco/jams/nottingham_0.jams
nottingham_1,playford,,CAL 1,../../partitions/nottingham/raw/playford.abc,../../partitions/nottingham/choco/jams/nottingham_1.jams
nottingham_2,playford,,CAL 2,../../partitions/nottingham/raw/playford.abc,../../partitions/nottingham/choco/jams/nottingham_2.jams
nottingham_3,playford,,Dick's Maggot,../../partitions/nottingham/raw/playford.abc,../../partitions/nottingham/choco/jams/nottingham_3.jams
nottingham_4,playford,,Hole in the Wall,../../partitions/nottingham/raw/playford.abc,../../partitions/nottingham/choco/jams/nottingham_4.jams
nottingham_5,playford,,The Indian Queen,../../partitions/nottingham/raw/playford.abc,../../partitions/nottingham/choco/jams/nottingham_5.jams
nottingham_6,playford,,Mr Beveridge's Maggot,../../partitions/nottingham/raw/playford.abc,../../partitions/nottingham/choco/jams/nottingham_6.jams
nottingham_7,playford,,Nancy's Fancy,../../partitions/nottingham/raw/playford.abc,../../partitions/nottingham/choco/jams/nottingham_7.jams
nottingham_8,playford,,Never Love Thee More,../../partitions/nottingham/raw/playford.abc,../../partitions/nottingham/choco/jams/nottingham_8.jams
nottingham_9,playford,,Nonesuch,../../partitions/nottingham/raw/playford.abc,../../partitions/nottingham/choco/jams/nottingham_9.jams
nottingham_10,playford,,The Queen's Jig,../../partitions/nottingham/raw/playford.abc,../../partitions/nottingham/choco/jams/nottingham_10.jams
nottingham_11,playford,,Rufty Tufty,../../partitions/nottingham/raw/playford.abc,../../partitions/nottingham/choco/jams/nottingham_11.jams
nottingham_12,playford,,Sadlers Wells,../../partitions/nottingham/raw/playford.abc,../../partitions/nottingham/choco/jams/nottingham_12.jams
nottingham_13,playford,,St Hugh's Jig,../../partitions/nottingham/raw/playford.abc,../../partitions/nottingham/choco/jams/nottingham_13.jams
nottingham_14,playford,,Staines Morris,../../partitions/nottingham/raw/playford.abc,../../partitions/nottingham/choco/jams/nottingham_14.jams
nottingham_15,morris,,Abbotts Bromley Horn Dance,../../partitions/nottingham/raw/morris.abc,../../partitions/nottingham/choco/jams/nottingham_15.jams
nottingham_16,morris,,Abram Circle,../../partitions/nottingham/raw/morris.abc,../../partitions/nottingham/choco/jams/nottingham_16.jams
nottingham_17,morris,,,../../partitions/nottingham/raw/morris.abc,
nottingham_18,morris,,,../../partitions/nottingham/raw/morris.abc,
nottingham_19,morris,,,../../partitions/nottingham/raw/morris.abc,
nottingham_20,morris,,,../../partitions/nottingham/raw/morris.abc,
nottingham_21,morris,,Highland Mary,../../partitions/nottingham/raw/morris.abc,../../partitions/nottingham/choco/jams/nottingham_21.jams
nottingham_22,morris,,Mrs Casey,../../partitions/nottingham/raw/morris.abc,../../partitions/nottingham/choco/jams/nottingham_22.jams
nottingham_23,morris,,Orange in Bloom,../../partitions/nottingham/raw/morris.abc,../../partitions/nottingham/choco/jams/nottingham_23.jams
nottingham_24,morris,,Bonny Green Garters,../../partitions/nottingham/raw/morris.abc,../../partitions/nottingham/choco/jams/nottingham_24.jams
nottingham_25,morris,,Cuckoo's Nest,../../partitions/nottingham/raw/morris.abc,../../partitions/nottingham/choco/jams/nottingham_25.jams
