0.000000	6.397098	N
6.397098	18.644898	Bb:mix
18.644898	24.653061	G:dor
24.653061	30.903379	F:dor
30.903379	37.064059	G:dor
37.064059	43.094807	C:mix
43.094807	49.339569	Bb
49.339569	53.887710	C:mix
53.887710	61.545034	Bb
61.545034	67.669546	G:dor
67.669546	73.793016	F:dor
73.793016	79.978231	G:dor
79.978231	86.134104	C:mix
86.134104	92.253311	Bb
92.253311	96.803991	C:mix
96.803991	104.498549	Bb
104.498549	107.515828	Bb:min
107.515828	116.771542	Bb
116.771542	119.777551	Bb:min
119.777551	125.910658	G:dor
125.910658	132.113333	F:dor
132.113333	138.208186	G:dor
138.208186	144.400680	C:mix
144.400680	150.506576	Bb
150.506576	156.667868	C:mix
156.667868	162.801202	Bb
162.801202	168.906599	C:mix
168.906599	175.072971	Bb
175.072971	181.141383	C:mix
181.141383	191.682630	Bb
191.682630	193.632721	N
