id,title,artist,metre,global_key
1069,Must Of Got Lost,The J. Geils Band,4/4,C
0987,Baby I'm Burnin',Dolly Parton,4/4,B
0389,Tenderness,General Public,4/4,C
0973,Little Too Late,Pat Benatar,4/4,E
0184,Always on My Mind,Pet Shop Boys,4/4,G
1056,After The Love Has Gone,"Earth, Wind & Fire",4/4,F
1290,Happy Together,The Turtles,4/4,F#
0170,Golden Earring,Twilight Zone,4/4,B
0726,Would It Make Any Difference To You,Etta James,12/8,Ab
0148,Spirits In The Material World,The Police,4/4,A
0974,Kokomo (From The Cocktail Soundtrack),The Beach Boys,4/4,C
0721,Help Is On The Way,Little River Band,4/4,B
0177,I've Got Love On My Mind,Nathalie Cole,4/4,Db
0345,Doo Doo Doo Doo Doo,The Rolling Stones,4/4,E
1297,Ebony Eyes,The Everly Brothers,3/4,E
0183,Chiquitita,ABBA,4/4,A
1051,My Kinda Lover,Billy Squier,4/4,C
1263,Baby What You Want Me To Do,Jimmy Reed,4/4,E
0728,Breaking Up Is Hard To Do,Neil Sedaka,4/4,B
1058,Ain't No Sunshine,Bill Withers,4/4,A
1093,I Can Help,Billy Swan,12/8,C
0141,Shock the Monkey,Peter Gabriel,4/4,D
0525,Trampled Under Foot,Led Zeppelin,4/4,G
1067,Hurts To Be In Love,Gino Vanelli,4/4,E
0387,Time Is On My Side,Rolling Stones,12/8,F
0179,You Can't Judge A Book By The Cover,Bo Diddley,4/4,Ab
0945,Riders On The Storm,The Doors,4/4,E
0380,Best Thing That Ever Happened To Me,Gladys Knight & The Pips,4/4,A
0522,Young Hearts Run Free,Candi Staton,4/4,Eb
1094,There's No Other (Like My Baby),The Crystals,12/8,D
1034,Sugar Magnolia,The Greatful Dead,4/4,A
0582,I Don't Blame You At All,The Miracles,4/4,Ab
0112,Letter Full of Tears,Gladys Knight & The Pips,4/4,E
0320,Floy Joy,The Supremes,4/4,F
1239,Will You Love Me Tomorrow,The Shirelles,4/4,C
0911,Hold On,Wilson Phillips,4/4,F
0549,Double Shot (Of My Baby's Love),Swingin' Medallions,4/4,Ab
0929,Dirty Water,Rock And Hyde,4/4,G
0115,Sweet Little Rock N' Roll,Chuck Berry,4/4,G
0571,Quarter To Three,Gary U.S. Bonds,4/4,Eb
0743,One Way or Another,Blondie,4/4,D
0585,Too Weak To Fight,Clarence Carter,4/4,Db
1201,Three Times A Lady,The Commodores,3/4,Ab
1033,Goin' Back,The Byrds,4/4,E
0916,Promises,Eric Clapton,4/4,G
0318,Wheels,The String-A-Longs,4/4,F
