id,title,track,performer,duration,tempo,file_path,jams_path
rwc-pop_0,Eien no replica,01,Kazuo Nishi,209.0,135,../../partitions/rwc-pop/raw/N001-M01-T01.lab,../../partitions/rwc-pop/choco/jams/rwc-pop_0.jams
rwc-pop_1,Magic in your eyes,02,Hiromi Yoshii,222.0,100,../../partitions/rwc-pop/raw/N002-M01-T02.lab,../../partitions/rwc-pop/choco/jams/rwc-pop_1.jams
rwc-pop_2,HORO,03,MIT,195.0,111,../../partitions/rwc-pop/raw/N003-M01-T03.lab,../../partitions/rwc-pop/choco/jams/rwc-pop_2.jams
rwc-pop_3,Spice of Life,04,Hisayoshi Kazato,242.0,86,../../partitions/rwc-pop/raw/N004-M01-T04.lab,../../partitions/rwc-pop/choco/jams/rwc-pop_3.jams
rwc-pop_4,Koino Ver.2.4,05,Eves,228.0,135,../../partitions/rwc-pop/raw/N005-M01-T05.lab,../../partitions/rwc-pop/choco/jams/rwc-pop_4.jams
rwc-pop_5,Funky Life,06,Oriken,206.0,120,../../partitions/rwc-pop/raw/N006-M01-T06.lab,../../partitions/rwc-pop/choco/jams/rwc-pop_5.jams
rwc-pop_6,PROLOGUE,07,Tomomi Ogata,298.0,122,../../partitions/rwc-pop/raw/N007-M01-T07.lab,../../partitions/rwc-pop/choco/jams/rwc-pop_6.jams
rwc-pop_7,Jinsei konnamono,08,fevers,192.0,127,../../partitions/rwc-pop/raw/N008-M01-T08.lab,../../partitions/rwc-pop/choco/jams/rwc-pop_7.jams
rwc-pop_8,Doukoku,09,Kazuo Nishi,277.0,70,../../partitions/rwc-pop/raw/N009-M01-T09.lab,../../partitions/rwc-pop/choco/jams/rwc-pop_8.jams
rwc-pop_9,Getting Over,10,Brakes,215.0,125,../../partitions/rwc-pop/raw/N010-M01-T10.lab,../../partitions/rwc-pop/choco/jams/rwc-pop_9.jams
rwc-pop_10,Ienai,11,Hisayoshi Kazato,267.0,90,../../partitions/rwc-pop/raw/N011-M01-T11.lab,../../partitions/rwc-pop/choco/jams/rwc-pop_10.jams
rwc-pop_11,KAGE-ROU,12,Kazuo Nishi,204.0,120,../../partitions/rwc-pop/raw/N012-M01-T12.lab,../../partitions/rwc-pop/choco/jams/rwc-pop_11.jams
rwc-pop_12,Catch ball,13,Konbu,219.0,103,../../partitions/rwc-pop/raw/N013-M01-T13.lab,../../partitions/rwc-pop/choco/jams/rwc-pop_12.jams
rwc-pop_13,Karehairo no Twilight,14,Rin,234.0,88,../../partitions/rwc-pop/raw/N014-M01-T14.lab,../../partitions/rwc-pop/choco/jams/rwc-pop_13.jams
rwc-pop_14,old fashioned,15,Katsuyuki Ozawa,162.0,132,../../partitions/rwc-pop/raw/N015-M01-T15.lab,../../partitions/rwc-pop/choco/jams/rwc-pop_14.jams
rwc-pop_15,Game of Love,16,Hiromi Yoshii,262.0,122,../../partitions/rwc-pop/raw/N016-M01-T16.lab,../../partitions/rwc-pop/choco/jams/rwc-pop_15.jams
rwc-pop_16,Anata to aete,01,Hiromi Yoshii,241.0,97,../../partitions/rwc-pop/raw/N017-M02-T01.lab,../../partitions/rwc-pop/choco/jams/rwc-pop_16.jams
rwc-pop_17,True Heart,02,Tomomi Ogata,254.0,112,../../partitions/rwc-pop/raw/N018-M02-T02.lab,../../partitions/rwc-pop/choco/jams/rwc-pop_17.jams
rwc-pop_18,COOL Motion,03,Hisayoshi Kazato,289.0,130,../../partitions/rwc-pop/raw/N019-M02-T03.lab,../../partitions/rwc-pop/choco/jams/rwc-pop_18.jams
